Wall time,Step,Value
1729247871.47898,0,112.45169830322266
1729247896.1250646,50000,92.55361938476562
1729248245.637583,100000,379.8854675292969
1729248574.0602384,150000,637.4994506835938
1729248922.1193933,200000,808.1063232421875
1729249251.8453627,250000,1311.322265625
1729249592.2269979,300000,2370.055908203125
1729249982.6264544,350000,3506.848388671875
1729250344.749761,400000,4520.54541015625
1729250724.8450902,450000,4762.11083984375
1729251091.4042675,500000,5241.5517578125
1729251467.4199488,550000,5570.693359375
1729251849.3156142,600000,5902.63037109375
1729252244.071673,650000,5587.83837890625
1729252655.9417312,700000,5412.62646484375
1729253110.3744035,750000,6010.8330078125
1729253511.7196379,800000,6164.1435546875
1729253908.2770374,850000,6052.7109375
1729254318.0317364,900000,6099.5400390625
1729254718.2143562,950000,5969.716796875
1729255119.5985014,1000000,6196.8662109375
1729255539.0675626,1050000,5913.6611328125
1729255953.977441,1100000,6210.2724609375
1729256385.4243636,1150000,6505.63818359375
1729256806.741417,1200000,5847.81494140625
1729257197.1384296,1250000,5954.3818359375
1729257559.3163915,1300000,3559.199462890625
1729257936.9716516,1350000,4769.10498046875
1729258342.9832616,1400000,5013.74267578125
1729258766.48773,1450000,4830.8232421875
1729259224.0070682,1500000,4785.2431640625
1729259612.9682193,1550000,5695.69677734375
1729259979.4985538,1600000,6109.53369140625
1729260350.8817327,1650000,6928.9599609375
1729260691.3687506,1700000,2995.766845703125
1729261057.6593447,1750000,6234.8017578125
1729261428.6645992,1800000,7048.66357421875
1729261800.2268088,1850000,7116.43701171875
1729262149.6865249,1900000,4376.96337890625
1729262475.3288965,1950000,722.7890014648438
1729262843.1472678,2000000,7078.24658203125
1729263220.0546186,2050000,7282.25634765625
1729263591.6452641,2100000,6992.73828125
1729263960.775563,2150000,7601.111328125
1729264332.6136563,2200000,7640.279296875
1729264689.4265535,2250000,6458.5068359375
1729265054.2812638,2300000,6609.23779296875
1729265419.8367944,2350000,7657.125
1729265783.744157,2400000,6688.3134765625
1729266149.5446718,2450000,7463.59130859375
1729266516.5232952,2500000,7311.513671875
1729266876.7349815,2550000,5846.240234375
1729267230.8051798,2600000,3734.19775390625
1729267590.1447172,2650000,5886.91357421875
1729267957.675732,2700000,7121.142578125
1729268318.014562,2750000,6331.728515625
1729268662.7638474,2800000,4403.77099609375
1729269017.5438602,2850000,5894.80126953125
1729269383.3204076,2900000,7098.14306640625
1729269754.3863986,2950000,7684.3623046875
1729270120.2471175,3000000,7186.1171875
1729270485.6640365,3050000,7253.95849609375
1729270846.5256379,3100000,6290.4013671875
1729271190.0835292,3150000,4838.69140625
1729271559.3728929,3200000,7605.0205078125
1729271928.1463757,3250000,7752.06884765625
1729272300.3666978,3300000,7554.97412109375
1729272667.128999,3350000,7659.7998046875
1729273033.2466335,3400000,7787.89599609375
1729273399.9672098,3450000,7608.59765625
1729273766.0313835,3500000,7820.2607421875
1729274127.0404623,3550000,7346.63916015625
1729274487.0798264,3600000,6883.27978515625
1729274840.214562,3650000,5715.681640625
1729275205.8847265,3700000,6667.6611328125
1729275576.7551312,3750000,7458.6923828125
1729275944.1345363,3800000,6972.38134765625
1729276317.2621968,3850000,7952.07568359375
1729276687.1841676,3900000,7916.00048828125
1729277053.3026917,3950000,7782.1552734375
1729277414.000932,4000000,5990.89453125
1729277782.5483222,4050000,7914.95556640625
1729278147.8099093,4100000,7568.77587890625
1729278520.8348684,4150000,8160.69677734375
1729278886.1204743,4200000,7662.5712890625
1729279249.58386,4250000,6925.89111328125
1729279620.8871303,4300000,7446.82373046875
1729279987.8663669,4350000,7962.60498046875
1729280356.2716343,4400000,7667.10693359375
1729280710.7497652,4450000,6609.21728515625
1729281068.5730588,4500000,6577.8388671875
1729281648.8122637,4550000,7996.8154296875
1729282279.8951213,4600000,7965.47314453125
1729282912.708867,4650000,8095.8251953125
1729283503.1752517,4700000,8430.8896484375
1729284069.246543,4750000,6892.86279296875
1729284620.359876,4800000,6079.07861328125
1729285184.78452,4850000,6710.4853515625
1729285751.456919,4900000,7254.94140625
1729286320.4983788,4950000,7515.12744140625
1729286886.9600394,5000000,6109.7802734375
