Wall time,Step,Value
1731162697.8807452,0,113.68008422851562
1731162711.105566,50000,108.59471893310547
1731162917.4033067,100000,446.464599609375
1731163112.2442942,150000,772.67724609375
1731163307.877589,200000,1356.220458984375
1731163509.5337083,250000,2539.174072265625
1731163722.6429138,300000,5593.32373046875
1731163935.0077965,350000,5879.05078125
1731164138.5519168,400000,3967.457275390625
1731164354.6266131,450000,6588.98095703125
1731164569.4507666,500000,6953.43798828125
1731164784.5384345,550000,7283.28173828125
1731164992.1805236,600000,4982.90771484375
1731165203.4058518,650000,6913.46142578125
1731165416.221539,700000,7729.2333984375
1731165630.8028696,750000,8437.3623046875
1731165841.6818054,800000,8036.19091796875
1731166054.2701306,850000,8135.9716796875
1731166258.3202732,900000,6200.84228515625
1731166470.834944,950000,8612.650390625
1731166680.8306878,1000000,8290.2060546875
1731166892.4990172,1050000,9083.521484375
1731167101.592218,1100000,8287.6220703125
1731167306.6298344,1150000,7541.27734375
1731167518.705646,1200000,8403.677734375
1731167727.7248418,1250000,8391.5087890625
1731167943.254754,1300000,10440.841796875
1731168154.3788304,1350000,8406.7373046875
1731168369.5870366,1400000,10882.1455078125
1731168579.0480683,1450000,8778.369140625
1731168788.6526973,1500000,9348.1787109375
1731169004.0980856,1550000,10587.587890625
1731169218.5814195,1600000,10709.119140625
1731169432.98638,1650000,11357.388671875
1731169643.3069627,1700000,10352.5205078125
1731169859.2394266,1750000,10954.30859375
1731170075.75504,1800000,11732.640625
1731170288.0739863,1850000,10577.201171875
1731170503.2329712,1900000,11385.8603515625
1731170717.9046092,1950000,11369.3544921875
1731170933.204943,2000000,12019.8798828125
1731171145.894552,2050000,12106.14453125
1731171349.1187246,2100000,8604.658203125
1731171560.1908724,2150000,12275.7060546875
1731171774.7389255,2200000,11164.4287109375
1731171988.1426582,2250000,11183.5078125
1731172201.797353,2300000,12491.5107421875
1731172416.168935,2350000,12489.8369140625
1731172627.1908867,2400000,12608.21875
1731172831.3130774,2450000,9162.927734375
1731173046.6487703,2500000,12817.234375
1731173260.371008,2550000,12767.984375
1731173473.754504,2600000,12879.359375
1731173687.9386883,2650000,12997.560546875
1731173901.0047872,2700000,12477.046875
1731174113.4395132,2750000,12577.6591796875
1731174327.9745336,2800000,13204.9228515625
1731174539.8178976,2850000,13343.0400390625
1731174752.4367445,2900000,13376.591796875
1731174964.4725432,2950000,12876.259765625
1731175177.8546388,3000000,13487.541015625
1731175390.7275937,3050000,13586.2841796875
1731175603.1723423,3100000,13657.00390625
1731175817.5754404,3150000,13707.2744140625
1731176033.4559913,3200000,13751.9091796875
1731176247.5025973,3250000,13745.4541015625
1731176456.967981,3300000,11315.8544921875
1731176657.883719,3350000,8883.9404296875
1731176869.5469956,3400000,13898.486328125
1731177082.8514447,3450000,14000.5126953125
1731177295.3669264,3500000,13379.5263671875
1731177507.986905,3550000,13370.267578125
1731177721.269474,3600000,14089.9990234375
1731177933.5287504,3650000,14154.103515625
1731178138.975875,3700000,10065.263671875
1731178352.2774765,3750000,14223.044921875
1731178566.9763694,3800000,14257.5078125
1731178781.9063983,3850000,13657.490234375
1731178995.3408453,3900000,14364.21875
1731179212.8249767,3950000,14397.87890625
1731179428.5037265,4000000,14436.048828125
1731179645.2949347,4050000,14489.3427734375
1731179860.2100303,4100000,14585.6005859375
1731180073.1756237,4150000,13964.18359375
1731180284.964561,4200000,14664.6357421875
1731180496.6294875,4250000,14717.3857421875
1731180709.2205744,4300000,14066.9658203125
1731180920.9272523,4350000,14841.7548828125
1731181131.890389,4400000,13418.244140625
1731181345.1076484,4450000,14226.0654296875
1731181558.5593855,4500000,14227.48046875
1731181774.7941775,4550000,15048.6357421875
1731181983.9240868,4600000,12818.701171875
1731182195.7342284,4650000,13601.9296875
1731182401.9558356,4700000,11386.2197265625
1731182612.6549077,4750000,13565.7939453125
1731182825.2697175,4800000,13546.9140625
1731183028.2729826,4850000,9919.4140625
1731183237.368893,4900000,12815.173828125
1731183446.8330107,4950000,12167.25
1731183650.3399515,5000000,9924.4169921875
