Wall time,Step,Value
1723459573.3756409,0,3.5
1723459575.859349,1000,1.5
1723459578.630958,2000,2.5
1723459633.6346765,3000,1.0
1723459660.6284046,4000,0.5
1723459689.1529152,5000,5.75
1723459718.1086287,6000,6.25
1723459747.085844,7000,8.25
1723459777.4498463,8000,11.0
1723459806.2353468,9000,8.5
1723459835.062064,10000,11.75
1723459864.8849049,11000,12.0
1723459896.3345747,12000,13.5
1723459928.261433,13000,12.5
1723459960.3947117,14000,16.25
1723459992.7782974,15000,9.0
1723460026.064989,16000,16.75
1723460057.0869436,17000,13.0
1723460088.4640403,18000,13.75
1723460122.2982404,19000,15.0
1723460153.587816,20000,13.25
1723460186.0589988,21000,16.75
1723460218.6217067,22000,14.5
1723460247.8782022,23000,2.25
1723460278.9457076,24000,12.75
1723460310.8468692,25000,16.25
1723460343.0695121,26000,14.75
1723460378.800527,27000,26.25
1723460412.5126963,28000,27.25
1723460450.2076135,29000,28.0
1723460484.6751215,30000,24.0
1723460519.9479632,31000,28.25
1723460558.9038503,32000,47.25
1723460595.8993838,33000,45.0
1723460632.049146,34000,40.5
1723460669.9059439,35000,34.0
1723460706.3520317,36000,32.0
1723460743.3267226,37000,38.0
1723460782.402389,38000,40.75
1723460817.1414347,39000,30.75
1723460859.6492097,40000,47.0
1723460895.0836303,41000,39.25
1723460936.862442,42000,58.0
1723460965.1592512,43000,2.75
1723460996.9294639,44000,17.25
1723461029.6825438,45000,13.0
1723461065.6498554,46000,51.25
1723461106.9070482,47000,140.75
1723461151.9102752,48000,91.5
1723461193.5208898,49000,130.25
1723461232.0618048,50000,131.75
1723461272.5681694,51000,72.75
1723461314.758765,52000,171.0
1723461355.1014302,53000,113.0
1723461396.0225544,54000,117.75
1723461438.7913308,55000,121.0
1723461479.890097,56000,115.5
1723461524.0687833,57000,98.5
1723461568.9001794,58000,266.25
1723461615.1628058,59000,244.0
1723461658.2227747,60000,150.25
1723461699.0464196,61000,91.75
1723461734.7481205,62000,69.5
1723461763.0366068,63000,0.25
1723461792.9462686,64000,2.0
1723461823.5552995,65000,127.25
1723461860.6333318,66000,105.5
1723461899.456743,67000,136.0
1723461938.292147,68000,77.5
1723461977.94433,69000,97.75
1723462021.4557533,70000,167.0
1723462060.8585546,71000,88.5
1723462100.1257496,72000,73.75
1723462138.2408195,73000,100.0
1723462180.9485862,74000,222.75
1723462224.4783542,75000,255.25
1723462269.2694633,76000,317.0
1723462317.9415371,77000,260.25
1723462359.3761876,78000,234.0
1723462428.8318017,79000,212.5
1723462477.052783,80000,237.5
1723462566.5839396,81000,277.20001220703125
1723462642.1527598,82000,236.25
1723462668.343644,83000,0.5
1723462696.020805,84000,4.5
1723462723.8900852,85000,8.0
1723462756.2152052,86000,15.75
1723462786.4538505,87000,22.25
1723462827.739082,88000,122.5
1723462868.2243657,89000,168.0
1723462914.0051253,90000,219.5
1723462954.1278162,91000,66.75
1723463025.9816868,92000,157.60000610351562
1723463067.9315476,93000,233.5
1723463112.2543378,94000,242.25
1723463243.688071,95000,288.0
1723463304.5645173,96000,187.0
1723463347.8822782,97000,250.25
1723463392.7595117,98000,257.75
1723463476.9664528,99000,298.79998779296875
1723463567.1842039,100000,300.0
