Wall time,Step,Value
1722076023.6238983,22,0.0
1722076023.6576746,89,1.0
1722076023.6712048,112,0.0
1722076023.6961226,161,1.0
1722076023.7095044,184,0.0
1722076023.7418864,237,1.0
1722076023.755008,260,0.0
1722076023.7678707,283,0.0
1722076023.7803013,306,0.0
1722076023.7928865,329,0.0
1722076023.8116107,352,0.0
1722076023.8244674,375,0.0
1722076023.8385787,398,0.0
1722076023.8723805,467,1.0
1722076023.8847442,490,0.0
1722076023.9254673,559,1.0
1722076023.9382913,582,0.0
1722076023.9508808,605,0.0
1722076023.963785,628,0.0
1722076023.975935,651,0.0
1722076023.9946232,674,0.0
1722076024.0078564,697,0.0
1722076024.021975,720,0.0
1722076024.0347967,743,0.0
1722076024.047807,766,0.0
1722076024.066877,789,0.0
1722076024.0788276,810,0.0
1722076024.0919485,833,0.0
1722076024.1045797,854,0.0
1722076024.117097,877,0.0
1722076024.136994,900,0.0
1722076024.1498768,923,0.0
1722076024.176797,974,1.0
1722076024.189134,995,0.0
1722076024.2016761,1018,0.0
1722076024.2195673,1041,0.0
1722076024.2325897,1064,0.0
1722076024.2456615,1087,0.0
1722076024.2592056,1110,0.0
1722076024.3311532,1260,3.0
1722076024.3506498,1283,0.0
1722076024.3633275,1306,0.0
1722076024.376117,1329,0.0
1722076024.4246278,1427,2.0
1722076024.4375837,1450,0.0
1722076024.4568636,1473,0.0
1722076024.469601,1496,0.0
1722076024.4835691,1519,0.0
1722076024.496023,1540,0.0
1722076024.5318892,1609,1.0
1722076024.5501308,1632,0.0
1722076024.5624764,1655,0.0
1722076024.574138,1676,0.0
1722076024.5868628,1699,0.0
1722076024.6515234,1830,3.0
1722076024.6692986,1853,0.0
1722076024.6817513,1876,0.0
1722076024.6948874,1899,0.0
1722076024.7082558,1922,0.0
1722076052.8164961,2004,2.0
1722076053.6377938,2027,0.0
1722076054.465235,2050,0.0
1722076055.3159628,2073,0.0
1722076056.1582782,2096,0.0
1722076059.7271874,2194,2.0
1722076063.2300289,2292,2.0
1722076064.0351818,2315,0.0
1722076066.5623627,2386,1.0
1722076069.2976928,2458,1.0
1722076071.8800533,2530,1.0
1722076072.7015967,2553,0.0
1722076073.509362,2576,0.0
1722076074.3116398,2599,0.0
1722076075.1374881,2622,0.0
1722076075.956446,2645,0.0
1722076076.81872,2668,0.0
1722076077.55724,2689,0.0
1722076079.4575903,2741,1.0
1722076080.3186784,2764,0.0
1722076081.1033278,2785,0.0
1722076081.944205,2808,0.0
1722076082.8085668,2831,0.0
1722076083.5444696,2852,0.0
1722076084.3771646,2875,0.0
1722076086.1315506,2924,1.0
1722076086.956495,2947,0.0
1722076088.793605,2998,1.0
1722076089.6189783,3021,0.0
1722076092.0207398,3088,1.0
1722076092.87233,3111,0.0
1722076093.7052126,3134,0.0
1722076094.5482724,3157,0.0
1722076095.3649232,3180,0.0
1722076096.1961784,3203,0.0
1722076097.0218139,3226,0.0
1722076097.859887,3249,0.0
1722076098.687498,3272,0.0
1722076099.514134,3295,0.0
1722076100.3441057,3318,0.0
1722076101.218275,3341,0.0
1722076103.113182,3392,1.0
1722076103.9926167,3415,0.0
1722076104.8572571,3438,0.0
1722076105.6519094,3461,0.0
1722076107.4894986,3512,1.0
1722076108.3957338,3535,0.0
1722076109.2199712,3558,0.0
1722076110.051327,3581,0.0
1722076110.8756037,3604,0.0
1722076111.6969557,3627,0.0
1722076112.5146182,3650,0.0
1722076113.3433216,3673,0.0
1722076114.148583,3696,0.0
1722076114.9870343,3719,0.0
1722076115.7916062,3742,0.0
1722076116.628898,3765,0.0
1722076117.476787,3788,0.0
1722076118.2340918,3809,0.0
1722076119.0720682,3832,0.0
1722076119.848165,3853,0.0
1722076120.6845677,3876,0.0
1722076121.554528,3899,0.0
1722076122.3807757,3922,0.0
1722076123.206348,3945,0.0
1722076128.5418384,4093,3.0
1722076130.4075897,4144,1.0
1722076131.2720118,4167,0.0
1722076132.1166234,4190,0.0
1722076132.9331503,4213,0.0
1722076133.781822,4236,0.0
1722076134.6160047,4259,0.0
1722076135.4319427,4282,0.0
1722076139.8134341,4403,2.0
1722076140.6449053,4426,0.0
1722076141.4900064,4449,0.0
1722076142.3441958,4472,0.0
1722076143.2004728,4495,0.0
1722076144.067997,4518,0.0
1722076146.6052117,4587,1.0
1722076147.4309926,4610,0.0
1722076148.2672718,4633,0.0
1722076149.0923061,4656,0.0
1722076149.9086275,4679,0.0
1722076150.7333298,4702,0.0
1722076151.4979336,4723,0.0
1722076152.3350332,4746,0.0
1722076154.2023869,4797,1.0
1722076155.0616486,4820,0.0
1722076155.8921862,4843,0.0
1722076156.7095463,4866,0.0
1722076158.5202622,4917,1.0
1722076160.4640222,4970,1.0
1722076161.3129845,4993,0.0
1722076162.18403,5016,0.0
1722076164.6041055,5083,1.0
1722076167.2070632,5153,1.0
1722076169.8782713,5225,1.0
1722076170.6737964,5248,0.0
1722076171.4874322,5271,0.0
1722076172.3269618,5294,0.0
1722076174.8729184,5363,1.0
1722076175.677059,5386,0.0
1722076178.2465575,5458,1.0
1722076179.0116646,5479,0.0
1722076179.8475277,5502,0.0
1722076180.6899729,5525,0.0
1722076182.4442956,5574,1.0
1722076183.2501402,5597,0.0
1722076188.162813,5727,3.0
1722076190.6458428,5796,1.0
1722076191.4966195,5819,0.0
1722076192.3607519,5842,0.0
1722076196.7986982,5964,2.0
1722076199.3443475,6033,1.0
1722076201.141407,6083,1.0
