Wall time,Step,Value
1723452765.8954077,0,1.0
1723452768.7508042,1000,5.25
1723452770.6883786,2000,0.5
1723452781.6127813,3000,3.0
1723452786.3161442,4000,0.0
1723452791.4512148,5000,0.25
1723452796.7246912,6000,2.0
1723452801.9127436,7000,0.5
1723452806.9882655,8000,1.0
1723452812.4222436,9000,1.5
1723452817.4614184,10000,1.0
1723452823.1296678,11000,2.75
1723452828.6808298,12000,2.25
1723452834.0605037,13000,2.25
1723452839.2338543,14000,0.5
1723452844.140195,15000,0.5
1723452848.986018,16000,0.5
1723452854.843455,17000,2.25
1723452860.7279785,18000,2.5
1723452866.625758,19000,3.5
1723452872.1495337,20000,2.5
1723452877.28579,21000,1.0
1723452883.022903,22000,4.0
1723452888.5192163,23000,2.5
1723452894.4481382,24000,2.5
1723452900.154572,25000,2.25
1723452905.097706,26000,1.0
1723452911.3980863,27000,3.25
1723452917.181666,28000,4.0
1723452923.6623333,29000,5.5
1723452929.5340452,30000,4.0
1723452935.3732712,31000,3.25
1723452941.1914036,32000,4.25
1723452947.442883,33000,5.0
1723452953.6356053,34000,4.75
1723452960.4904222,35000,7.25
1723452966.8732011,36000,8.5
1723452973.5995066,37000,8.75
1723452980.0469017,38000,10.75
1723452986.3265505,39000,3.5
1723452993.7607574,40000,7.75
1723452999.6903303,41000,3.5
1723453006.4871407,42000,6.5
1723453013.411404,43000,9.0
1723453021.0814943,44000,9.0
1723453027.1784,45000,8.5
1723453033.2992873,46000,9.0
1723453039.5140376,47000,6.0
1723453046.1040878,48000,9.75
1723453052.5649033,49000,4.25
1723453059.204579,50000,9.5
1723453065.5510027,51000,6.5
1723453072.3341074,52000,7.0
1723453078.6057107,53000,6.75
1723453086.0965936,54000,8.25
1723453093.340656,55000,8.25
1723453101.6338923,56000,14.75
1723453108.915443,57000,9.5
1723453115.1628926,58000,11.25
1723453123.095277,59000,11.75
1723453130.3667865,60000,9.75
1723453137.2760768,61000,8.75
1723453144.6349046,62000,9.0
1723453150.3720622,63000,4.75
1723453158.013375,64000,8.0
1723453165.8606963,65000,11.25
1723453172.7221947,66000,7.75
1723453181.3398175,67000,12.25
1723453187.7434475,68000,5.5
1723453195.080864,69000,11.25
1723453202.404158,70000,8.0
1723453209.9521754,71000,9.0
1723453216.9147804,72000,7.75
1723453224.0000627,73000,12.0
1723453231.9078727,74000,14.5
1723453239.3833232,75000,12.75
1723453247.5721693,76000,10.25
1723453255.2579641,77000,9.5
1723453262.0933988,78000,9.25
1723453269.8866954,79000,10.0
1723453276.0808403,80000,9.75
1723453283.697737,81000,11.5
1723453291.8577352,82000,11.75
1723453299.3879216,83000,11.5
1723453307.6103716,84000,14.75
1723453315.7564533,85000,15.75
1723453323.3953164,86000,11.75
1723453331.5831752,87000,14.0
1723453340.0765524,88000,14.75
1723453346.4137979,89000,10.5
1723453355.078911,90000,12.5
1723453362.9620597,91000,9.0
1723453370.8341796,92000,12.5
1723453378.1403527,93000,10.5
1723453386.0325658,94000,13.75
1723453393.9245496,95000,12.25
1723453402.011228,96000,15.25
1723453410.210324,97000,18.0
1723453417.8356504,98000,16.0
1723453426.0597432,99000,16.75
1723453434.2391276,100000,12.0
