Wall time,Step,Value
1722066289.133284,22,0.0
1722066289.1997674,112,1.0
1722066289.217891,135,0.0
1722066289.2353115,158,0.0
1722066289.3462539,292,0.0
1722066289.362842,313,0.0
1722066289.4488244,425,0.0
1722066289.4709182,448,0.0
1722066289.554071,561,0.0
1722066289.5715337,582,0.0
1722066289.5976026,605,0.0
1722066289.6331902,651,0.0
1722066289.7145147,769,2.0
1722066289.8081582,884,0.0
1722066289.890359,1004,2.0
1722066289.9274588,1050,0.0
1722066290.0201478,1165,1.0
1722066290.0378723,1188,0.0
1722066290.0797868,1234,0.0
1722066290.09607,1255,0.0
1722066290.1128373,1278,0.0
1722066290.130278,1301,0.0
1722066290.151959,1324,0.0
1722066290.302785,1511,0.0
1722066290.320055,1534,0.0
1722066290.3367069,1557,0.0
1722066290.3783815,1603,0.0
1722066290.3959527,1626,0.0
1722066290.4310443,1672,0.0
1722066290.4873595,1742,1.0
1722066290.540077,1814,1.0
1722066290.6585107,1977,1.0
1722066290.6740925,1998,0.0
1722066298.102643,2021,0.0
1722066298.1965988,2044,0.0
1722066298.6496882,2164,1.0
1722066298.7379677,2187,0.0
1722066299.0106735,2259,1.0
1722066299.0816414,2280,0.0
1722066299.2528148,2324,0.0
1722066299.3378646,2347,0.0
1722066300.0707352,2542,0.0
1722066300.2105858,2584,0.0
1722066300.4029534,2635,1.0
1722066300.5711942,2681,0.0
1722066300.651345,2702,0.0
1722066300.81207,2748,0.0
1722066301.161378,2847,2.0
1722066301.397747,2912,0.0
1722066301.4815543,2935,0.0
1722066302.1182773,3111,0.0
1722066302.4758086,3201,0.0
1722066302.5670598,3224,0.0
1722066302.8266788,3291,0.0
1722066303.2068338,3386,0.0
1722066303.591899,3486,2.0
1722066304.158627,3629,1.0
1722066304.2496052,3652,0.0
1722066304.6128922,3744,0.0
1722066304.8012533,3790,0.0
1722066305.2725925,3905,0.0
1722066305.9295955,4070,0.0
1722066306.0208325,4093,0.0
1722066306.2067049,4139,0.0
1722066306.394681,4185,0.0
1722066306.4864807,4206,0.0
1722066306.5795028,4229,0.0
1722066306.7424817,4271,0.0
1722066306.9302769,4315,0.0
1722066307.3166988,4411,2.0
1722066308.5440605,4717,1.0
1722066308.6261046,4738,0.0
1722066308.9225798,4810,0.0
1722066309.3211162,4910,2.0
1722066309.7841222,5025,0.0
1722066311.0176437,5330,0.0
1722066311.1986134,5376,0.0
1722066311.2948008,5399,0.0
1722066311.4817512,5445,0.0
1722066311.940645,5562,2.0
1722066312.4238687,5681,0.0
1722066313.4045818,5921,0.0
1722066313.4925625,5944,0.0
1722066313.579934,5965,0.0
1722066314.158424,6107,2.0
1722066314.4361577,6178,1.0
1722066314.7281141,6250,1.0
1722066314.8116457,6271,0.0
1722066315.2100542,6368,0.0
1722066315.30477,6391,0.0
1722066315.5870385,6458,0.0
1722066315.684611,6481,0.0
1722066315.779641,6504,0.0
1722066316.5311506,6692,1.0
1722066316.6383102,6715,0.0
1722066316.729759,6738,0.0
1722066317.11216,6834,2.0
1722066317.394538,6903,0.0
1722066317.6635191,6972,0.0
1722066317.7547774,6995,0.0
1722066317.862167,7018,0.0
1722066318.0417235,7064,0.0
1722066318.1347494,7087,0.0
1722066318.2373178,7110,0.0
1722066318.3356578,7133,0.0
1722066318.5147188,7179,0.0
1722066318.696176,7223,0.0
1722066319.3746097,7392,1.0
1722066319.7521083,7485,0.0
1722066320.143031,7582,0.0
1722066320.2334096,7603,0.0
1722066320.4086413,7647,0.0
1722066320.4998372,7670,0.0
1722066320.597063,7693,0.0
1722066320.696042,7716,0.0
1722066320.7880423,7739,0.0
1722066320.9765732,7785,0.0
1722066321.0797946,7808,0.0
1722066321.4501796,7900,0.0
1722066321.7317789,7967,0.0
1722066322.3280363,8111,2.0
1722066322.7039168,8203,1.0
1722066322.9895945,8275,1.0
1722066323.0731456,8296,0.0
1722066323.277853,8342,0.0
1722066323.6632614,8438,2.0
1722066324.0379875,8530,1.0
1722066324.1346903,8553,0.0
1722066324.5173845,8649,2.0
1722066324.5997827,8670,0.0
1722066325.060593,8783,0.0
1722066325.1503713,8804,0.0
1722066325.2425714,8827,0.0
1722066325.5067346,8892,0.0
1722066325.8957968,8990,2.0
1722066325.9851046,9011,0.0
1722066326.0821254,9034,0.0
1722066326.2623434,9080,0.0
1722066327.0171685,9262,0.0
1722066327.1093676,9285,0.0
1722066327.387344,9354,0.0
1722066327.7878695,9452,2.0
1722066327.876757,9473,0.0
1722066328.4568474,9616,1.0
1722066328.9329333,9735,2.0
1722066329.5030534,9878,1.0
1722066329.801708,9952,1.0
1722066330.21144,10050,0.0
1722066330.3869376,10094,0.0
1722066330.4780834,10115,0.0
1722066330.675493,10161,0.0
1722066331.1515722,10276,0.0
1722066331.5365324,10372,2.0
1722066331.6290486,10395,0.0
1722066331.9088454,10464,1.0
1722066332.0020406,10487,0.0
1722066332.4623132,10600,0.0
1722066333.1552978,10769,1.0
1722066333.44486,10841,1.0
1722066333.7425323,10915,1.0
1722066334.0424461,10990,1.0
1722066334.6175504,11130,2.0
1722066334.701643,11151,0.0
1722066334.9942636,11220,0.0
