Wall time,Step,Value
1722067534.8824575,112,0.0
1722067535.0313413,320,2.0
1722067535.167365,507,2.0
1722067535.3020513,693,2.0
1722067535.437943,880,2.0
1722067535.5631385,1053,2.0
1722067535.7603922,1340,4.0
1722067535.878446,1502,1.0
1722067536.032048,1711,2.0
1722067544.072976,2044,5.0
1722067545.591871,2229,2.0
1722067546.5485406,2342,0.0
1722067548.3730342,2552,2.0
1722067551.2233229,2888,5.0
1722067552.198412,2999,0.0
1722067553.1906936,3114,0.0
1722067556.5153732,3504,9.0
1722067557.527801,3619,0.0
1722067558.5147743,3734,0.0
1722067559.4785936,3849,0.0
1722067562.8837228,4239,9.0
1722067563.890992,4354,0.0
1722067567.254273,4744,9.0
1722067568.606038,4905,1.0
1722067571.453756,5243,5.0
1722067572.4272053,5358,0.0
1722067575.537072,5724,6.0
1722067577.7631576,5981,11.0
1722067578.7655616,6096,0.0
1722067579.7635248,6211,0.0
1722067581.5744333,6421,2.0
1722067583.737462,6678,11.0
1722067584.7011418,6793,0.0
1722067585.657731,6906,0.0
1722067586.6294718,7021,0.0
1722067587.596759,7136,0.0
1722067589.5965645,7370,7.0
1722067591.34291,7578,2.0
1722067594.7812226,7985,6.0
1722067596.9640706,8242,11.0
1722067598.6465,8442,3.0
1722067600.8228488,8699,11.0
1722067604.1666102,9089,9.0
1722067605.5759435,9250,1.0
1722067607.6222415,9484,7.0
1722067610.289972,9792,4.0
1722067612.2638602,10029,3.0
1722067614.636663,10313,8.0
1722067617.9565887,10711,7.0
1722067621.874997,11169,11.0
1722067624.3800688,11467,5.0
1722067626.645809,11730,5.0
1722067629.4783146,12064,5.0
1722067632.1372714,12381,5.0
1722067633.7174604,12569,2.0
1722067635.5212698,12784,3.0
1722067637.463745,13015,4.0
1722067639.6220107,13267,4.0
1722067642.3824208,13581,5.0
1722067644.7857418,13856,5.0
1722067647.8926075,14223,7.0
1722067652.099001,14710,12.0
1722067655.2445033,15087,7.0
1722067657.672965,15376,5.0
1722067659.7781985,15622,4.0
1722067662.276577,15909,5.0
1722067663.5065722,16050,1.0
1722067667.3685176,16499,9.0
1722067669.1726496,16711,3.0
1722067670.9308982,16920,2.0
1722067673.4961886,17222,5.0
1722067676.0873134,17529,12.0
1722067678.0911736,17768,3.0
1722067680.5500536,18058,12.0
1722067683.9708295,18463,7.0
1722067685.4991393,18641,2.0
1722067688.8685796,19024,6.0
1722067690.934419,19258,7.0
1722067694.019706,19614,13.0
1722067696.210826,19874,3.0
1722067700.0359492,20332,11.0
1722067702.584995,20625,5.0
1722067704.6698074,20868,4.0
1722067706.543827,21085,3.0
1722067708.6026862,21323,3.0
1722067710.6419477,21561,3.0
1722067712.871691,21823,5.0
1722067717.0205994,22307,12.0
1722067721.3232248,22813,10.0
1722067723.5858614,23072,3.0
1722067725.8983831,23335,8.0
1722067729.0276465,23694,6.0
1722067731.7663093,24022,6.0
1722067735.1334958,24426,7.0
1722067739.2525709,24908,12.0
1722067742.274055,25253,10.0
1722067745.9862483,25681,8.0
1722067749.2071562,26059,7.0
1722067753.281226,26545,12.0
1722067756.8156962,26956,8.0
1722067760.9807355,27440,9.0
1722067763.5227144,27736,9.0
1722067766.9259884,28139,7.0
1722067770.8959565,28604,14.0
1722067772.8147848,28825,3.0
1722067776.0273361,29201,18.0
1722067779.945825,29663,8.0
1722067782.6843698,29984,5.0
1722067784.9887888,30249,4.0
1722067788.52465,30659,11.0
1722067791.1610942,30965,5.0
1722067795.4663916,31473,12.0
1722067799.310033,31927,9.0
1722067802.2713692,32280,14.0
1722067805.4184325,32639,18.0
1722067808.455651,32983,6.0
1722067811.3155668,33317,6.0
1722067813.6123881,33590,4.0
1722067814.7892282,33731,1.0
1722067817.5746136,34060,6.0
1722067820.7141402,34417,6.0
1722067823.7779331,34765,6.0
1722067826.0513132,35032,8.0
1722067828.4045048,35302,4.0
1722067830.258447,35523,3.0
1722067832.552438,35792,4.0
1722067835.5117853,36144,10.0
1722067839.6071844,36630,14.0
1722067842.5526137,36980,10.0
1722067845.782212,37355,7.0
1722067847.6583805,37580,4.0
1722067850.2741458,37889,6.0
1722067852.538982,38159,4.0
1722067856.117665,38590,11.0
1722067859.07444,38942,21.0
1722067861.7978005,39259,9.0
1722067864.6437461,39589,6.0
1722067868.7388878,40071,12.0
1722067873.296227,40602,13.0
1722067876.7253253,41011,14.0
1722067880.2413917,41439,8.0
1722067882.5446415,41706,4.0
1722067887.1442218,42243,16.0
1722067890.4225714,42630,10.0
1722067894.439735,43112,12.0
1722067898.608787,43594,12.0
1722067901.4673684,43913,5.0
1722067903.9686804,44197,5.0
1722067907.5185783,44625,8.0
1722067911.6787758,45120,12.0
1722067915.5650191,45569,12.0
1722067917.845417,45836,4.0
1722067921.0029767,46200,7.0
1722067924.7996554,46634,8.0
1722067927.6759307,46976,13.0
1722067931.689424,47450,18.0
1722067934.5817738,47798,6.0
1722067937.3007967,48102,5.0
1722067941.5193248,48584,12.0
1722067946.0544622,49115,13.0
1722067948.626063,49420,5.0
1722067952.6793184,49897,9.0
1722067956.2198062,50300,11.0
1722067958.2140195,50529,4.0
1722067960.8317895,50842,16.0
1722067963.2773345,51135,5.0
1722067967.8240747,51662,10.0
1722067972.516055,52186,11.0
1722067975.5071151,52541,10.0
1722067977.6360667,52792,4.0
1722067980.1181798,53089,5.0
1722067984.3989258,53595,10.0
1722067989.3850975,54178,16.0
1722067991.613857,54442,5.0
1722067994.3638973,54755,7.0
1722067998.4143589,55237,9.0
1722068001.2873712,55565,13.0
1722068004.7820551,55974,9.0
1722068007.7024484,56310,6.0
1722068010.4700575,56627,5.0
1722068013.3719926,56965,20.0
1722068017.9208424,57496,13.0
1722068020.68868,57823,6.0
1722068024.091467,58222,7.0
1722068026.965772,58550,6.0
1722068031.1894586,59021,10.0
1722068036.8477914,59656,18.0
1722068041.1470351,60138,12.0
1722068044.6226208,60535,9.0
1722068047.8424153,60914,10.0
1722068051.9654746,61419,11.0
1722068056.0982802,61901,12.0
1722068059.5308347,62291,14.0
1722068062.7646742,62667,7.0
1722068066.4882755,63108,12.0
1722068070.537838,63597,16.0
