Wall time,Step,Value
1722067534.8159618,22,0.0
1722067534.8486862,66,0.0
1722067534.8654583,89,0.0
1722067534.882522,112,0.0
1722067534.9983087,274,0.0
1722067535.031405,320,0.0
1722067535.0544183,343,0.0
1722067535.1013918,412,1.0
1722067535.167427,507,1.0
1722067535.1900048,530,0.0
1722067535.2350311,598,1.0
1722067535.2857165,670,0.0
1722067535.302116,693,0.0
1722067535.3425913,744,1.0
1722067535.3774283,790,0.0
1722067535.4217238,857,1.0
1722067535.4942257,954,0.0
1722067535.5305417,1007,1.0
1722067535.5471613,1030,0.0
1722067535.5632007,1053,0.0
1722067535.6330686,1151,2.0
1722067535.6802726,1222,1.0
1722067535.7276204,1294,1.0
1722067535.744187,1317,0.0
1722067535.7604551,1340,0.0
1722067535.8288157,1433,0.0
1722067535.8453844,1456,0.0
1722067535.8620958,1479,0.0
1722067535.87851,1502,0.0
1722067535.900655,1525,0.0
1722067535.9535143,1594,0.0
1722067536.1993985,1952,1.0
1722067536.2150605,1973,0.0
1722067544.0730498,2044,1.0
1722067544.4961758,2095,1.0
1722067544.6928287,2118,0.0
1722067545.2251768,2185,1.0
1722067545.4189644,2208,0.0
1722067545.591932,2229,0.0
1722067545.7883294,2252,0.0
1722067546.1643283,2298,0.0
1722067546.7528627,2365,0.0
1722067546.9518092,2388,0.0
1722067547.139639,2409,0.0
1722067548.1786845,2529,2.0
1722067549.195028,2650,2.0
1722067549.8088474,2721,1.0
1722067549.988463,2742,0.0
1722067550.6098182,2814,1.0
1722067551.4255445,2911,0.0
1722067551.6008441,2932,0.0
1722067552.004088,2976,0.0
1722067552.411686,3022,0.0
1722067552.7972727,3068,0.0
1722067552.9916565,3091,0.0
1722067553.1907728,3114,0.0
1722067554.0154111,3212,2.0
1722067554.600544,3283,1.0
1722067555.2087245,3355,1.0
1722067555.864729,3429,1.0
1722067556.7207327,3527,0.0
1722067556.919399,3550,0.0
1722067557.122192,3573,0.0
1722067557.52788,3619,0.0
1722067557.7269711,3642,0.0
1722067558.116995,3688,0.0
1722067558.514845,3734,0.0
1722067558.7066967,3757,0.0
1722067558.8976326,3780,0.0
1722067559.478659,3849,0.0
1722067560.3432114,3947,2.0
1722067562.2270002,4164,1.0
1722067562.883801,4239,1.0
1722067563.2886221,4285,0.0
1722067563.497747,4308,0.0
1722067563.694108,4331,0.0
1722067563.8910565,4354,0.0
1722067564.751305,4452,2.0
1722067565.375361,4523,1.0
1722067565.9771109,4595,1.0
1722067567.2543418,4744,1.0
1722067567.4491816,4767,0.0
1722067567.639469,4790,0.0
1722067568.2130678,4859,1.0
1722067569.433973,5003,2.0
1722067569.6344771,5026,0.0
1722067571.650926,5266,0.0
1722067571.8449125,5289,0.0
1722067572.0452242,5312,0.0
1722067572.2353969,5335,0.0
1722067572.427273,5358,0.0
1722067573.2410278,5456,2.0
1722067573.4331238,5479,0.0
1722067574.4548936,5600,2.0
1722067575.5371463,5724,2.0
1722067576.4469485,5828,1.0
1722067576.9042706,5882,1.0
1722067577.3841252,5937,1.0
1722067577.7632294,5981,1.0
1722067577.975635,6004,0.0
1722067578.1726954,6027,0.0
1722067578.5680208,6073,0.0
1722067578.7656305,6096,0.0
1722067578.9726305,6119,0.0
1722067579.1696591,6142,0.0
1722067579.364566,6165,0.0
1722067579.555986,6188,0.0
1722067580.357307,6280,1.0
1722067581.5745022,6421,0.0
1722067582.4648254,6525,1.0
1722067582.9046092,6579,1.0
1722067583.3764782,6634,1.0
1722067583.7375352,6678,1.0
1722067583.935483,6701,0.0
1722067584.3199153,6747,0.0
1722067584.5133727,6770,0.0
1722067584.701216,6793,0.0
1722067585.0917788,6839,0.0
1722067585.4578836,6883,0.0
1722067585.6577978,6906,0.0
1722067585.8537536,6929,0.0
1722067586.0482957,6952,0.0
1722067586.2412062,6975,0.0
1722067586.6295497,7021,0.0
1722067586.8256931,7044,0.0
1722067587.0195463,7067,0.0
1722067587.2053835,7090,0.0
1722067587.4029927,7113,0.0
1722067588.0240188,7187,1.0
1722067588.472359,7240,1.0
1722067588.935551,7294,1.0
1722067589.1272392,7315,0.0
1722067589.596639,7370,1.0
1722067589.7919555,7393,0.0
1722067589.9863677,7416,0.0
1722067591.3429885,7578,1.0
1722067591.9309123,7647,1.0
1722067592.5415301,7719,1.0
1722067593.138265,7790,1.0
1722067593.7498271,7862,1.0
1722067595.220283,8036,1.0
1722067596.1258848,8143,1.0
1722067596.5893743,8198,1.0
1722067596.9641438,8242,1.0
1722067597.3894398,8293,1.0
1722067598.014003,8367,1.0
1722067598.1899397,8388,0.0
1722067598.646584,8442,1.0
1722067599.074334,8493,1.0
1722067599.5272694,8546,1.0
1722067599.9771402,8600,1.0
1722067600.460288,8655,1.0
1722067600.8229206,8699,1.0
1722067601.6454961,8797,2.0
1722067602.2424288,8868,1.0
1722067603.5042224,9014,1.0
1722067604.3801074,9112,0.0
1722067604.9625652,9181,1.0
1722067605.3713586,9227,0.0
1722067605.576006,9250,0.0
1722067606.0254557,9301,1.0
1722067606.205613,9322,0.0
1722067606.6653497,9375,1.0
1722067607.6223075,9484,1.0
1722067608.6773133,9604,2.0
1722067608.8836238,9627,0.0
1722067610.29005,9792,0.0
1722067611.2694912,9911,1.0
1722067611.4539266,9934,0.0
1722067611.6389441,9957,0.0
1722067612.2639391,10029,1.0
1722067612.6902306,10080,1.0
1722067612.8691866,10101,0.0
1722067613.3140929,10154,1.0
1722067614.1767035,10258,2.0
1722067614.636728,10313,1.0
1722067616.0316887,10482,1.0
1722067616.6318862,10554,1.0
1722067617.9566593,10711,1.0
1722067619.378314,10877,4.0
1722067619.9984837,10948,1.0
1722067620.6004272,11020,1.0
1722067621.238201,11094,1.0
1722067621.875085,11169,1.0
1722067623.7589118,11393,1.0
1722067623.9570708,11416,0.0
1722067624.380137,11467,1.0
1722067625.0976732,11551,2.0
1722067625.7507584,11625,0.0
1722067626.1858208,11677,1.0
1722067626.645875,11730,1.0
1722067627.2259033,11799,1.0
1722067628.4345884,11942,1.0
1722067628.8576734,11992,1.0
1722067631.9667711,12360,1.0
1722067632.3441296,12404,0.0
1722067632.9100847,12473,1.0
1722067633.527237,12546,0.0
1722067633.7175236,12569,0.0
1722067634.1528614,12620,1.0
1722067634.3481915,12643,0.0
1722067635.347793,12763,1.0
1722067635.5213332,12784,0.0
1722067635.727734,12807,0.0
1722067636.4253294,12891,2.0
1722067636.848292,12941,1.0
1722067637.284803,12994,1.0
1722067637.4638188,13015,0.0
1722067638.346714,13118,2.0
1722067638.7960393,13171,1.0
1722067638.9801912,13192,0.0
1722067639.4392078,13246,1.0
1722067640.9043174,13414,3.0
1722067641.0816545,13435,0.0
1722067643.513081,13710,3.0
1722067643.931565,13759,1.0
1722067644.4032648,13812,1.0
1722067644.5891032,13833,0.0
1722067644.785819,13856,0.0
1722067646.21124,14023,4.0
1722067647.292526,14151,0.0
1722067647.8926823,14223,1.0
1722067649.3535736,14392,4.0
1722067649.9843998,14464,1.0
1722067650.4253063,14514,1.0
1722067651.0766282,14588,1.0
1722067652.099072,14710,2.0
1722067653.5066404,14878,1.0
1722067654.094103,14948,1.0
1722067654.282825,14971,0.0
1722067655.244573,15087,2.0
1722067655.8399427,15158,1.0
1722067656.015879,15179,0.0
1722067657.477386,15353,4.0
1722067657.6730332,15376,0.0
1722067658.1086733,15427,1.0
1722067658.3027477,15450,0.0
1722067658.502979,15473,0.0
1722067659.7782657,15622,1.0
1722067660.6174636,15719,1.0
1722067662.2766418,15909,0.0
