Wall time,Step,Value
1722065944.9085383,110,0.0
1722065945.1818612,441,5.0
1722065945.362999,603,1.0
1722065945.4865787,718,0.0
1722065945.667518,877,1.0
1722065945.7858713,990,0.0
1722065945.9118083,1105,0.0
1722065946.028438,1218,0.0
1722065946.25916,1479,3.0
1722065946.556922,1844,6.0
1722065946.6523805,1959,0.0
1722065954.7529757,2170,2.0
1722065955.154645,2311,1.0
1722065955.4740224,2422,0.0
1722065955.7812386,2535,0.0
1722065956.222811,2694,1.0
1722065956.8690383,2896,3.0
1722065957.480359,3080,2.0
1722065958.4341655,3359,5.0
1722065958.920639,3500,1.0
1722065959.3321726,3615,0.0
1722065959.7323327,3728,0.0
1722065960.3364356,3897,2.0
1722065960.7755756,4012,0.0
1722065961.2029054,4127,0.0
1722065962.1335466,4384,11.0
1722065962.5578935,4497,0.0
1722065963.104364,4637,1.0
1722065963.7675421,4810,2.0
1722065964.2067697,4923,0.0
1722065965.2965448,5320,11.0
1722065966.0965898,5633,9.0
1722065966.5102234,5787,1.0
1722065966.8214407,5902,0.0
1722065967.127705,6017,0.0
1722065967.4222844,6132,0.0
1722065968.137478,6413,5.0
1722065968.4375978,6526,0.0
1722065968.7637966,6641,0.0
1722065969.278962,6825,2.0
1722065969.6191354,6940,0.0
1722065970.012615,7078,1.0
1722065970.336277,7189,0.0
1722065970.8031743,7343,1.0
1722065971.340146,7513,2.0
1722065971.8450432,7669,1.0
1722065972.457524,7852,2.0
1722065973.2254775,8084,3.0
1722065973.5967968,8193,0.0
1722065974.457905,8445,4.0
1722065974.8386602,8558,0.0
1722065975.2261152,8667,0.0
1722065976.1658115,8925,3.0
1722065976.8101583,9094,2.0
1722065977.505565,9278,2.0
1722065977.923657,9389,0.0
1722065978.4553454,9527,1.0
1722065979.225353,9726,3.0
1722065979.78347,9865,1.0
1722065980.867607,10148,4.0
1722065981.3174617,10261,0.0
1722065981.7559705,10372,0.0
1722065982.5168965,10574,3.0
1722065983.4009094,10808,7.0
1722065983.8517957,10923,0.0
1722065984.2971222,11036,0.0
1722065984.941128,11199,1.0
1722065985.4046922,11314,0.0
1722065985.8732913,11429,0.0
1722065986.33096,11544,0.0
1722065986.7861962,11659,0.0
1722065987.218606,11772,0.0
1722065987.6818225,11887,0.0
1722065988.1500034,12002,0.0
1722065988.5967185,12115,0.0
1722065989.0387552,12228,0.0
1722065990.085574,12485,11.0
1722065990.5510564,12598,0.0
1722065991.0140905,12711,0.0
1722065991.480119,12826,0.0
1722065991.947107,12941,0.0
1722065992.9766266,13198,11.0
