Wall time,Step,Value
1723453444.6261227,0,0.0
1723453446.3320222,1000,0.0
1723453448.3058558,2000,0.5
1723453463.9204767,3000,0.0
1723453474.9429822,4000,0.75
1723453485.7510614,5000,0.0
1723453497.339289,6000,1.25
1723453507.8140242,7000,1.75
1723453518.781007,8000,1.75
1723453530.0188336,9000,2.5
1723453540.9254375,10000,0.0
1723453552.4313483,11000,2.25
1723453563.8218048,12000,2.5
1723453576.299804,13000,3.25
1723453587.4429502,14000,3.25
1723453598.92505,15000,5.5
1723453611.169773,16000,3.5
1723453622.9839473,17000,4.75
1723453635.4962263,18000,8.75
1723453648.0307918,19000,2.5
1723453659.775337,20000,5.75
1723453672.4024415,21000,5.25
1723453684.7316954,22000,5.25
1723453698.5223706,23000,7.0
1723453710.293875,24000,4.75
1723453722.5422657,25000,4.0
1723453734.9723918,26000,5.0
1723453747.5218813,27000,7.75
1723453760.9059305,28000,7.75
1723453772.5088656,29000,7.75
1723453784.913682,30000,6.0
1723453797.1792688,31000,4.5
1723453810.125274,32000,6.75
1723453823.3208249,33000,9.0
1723453835.9448578,34000,4.5
1723453848.74703,35000,8.75
1723453860.019825,36000,6.0
1723453872.4928198,37000,6.5
1723453886.5343053,38000,16.0
1723453898.3508613,39000,9.0
1723453911.3137121,40000,8.25
1723453924.7321906,41000,8.0
1723453937.4363797,42000,11.75
1723453951.1073093,43000,9.25
1723453964.9190812,44000,7.5
1723453976.8646502,45000,10.0
1723453989.13755,46000,4.75
1723454002.1871789,47000,8.75
1723454013.128973,48000,7.25
1723454025.8026743,49000,8.5
1723454040.0457456,50000,12.5
1723454052.1763773,51000,10.0
1723454065.0240831,52000,8.0
1723454078.254819,53000,12.0
1723454091.5201292,54000,12.5
1723454103.8583288,55000,7.75
1723454116.8805184,56000,9.5
1723454130.5480168,57000,9.0
1723454142.306333,58000,9.5
1723454155.2074897,59000,11.75
1723454169.344949,60000,13.0
1723454182.2518322,61000,7.25
1723454195.5230606,62000,7.5
1723454207.4934103,63000,7.5
1723454219.9224482,64000,12.0
1723454234.6467166,65000,15.0
1723454247.9757364,66000,10.25
1723454262.3790255,67000,18.5
1723454275.3668833,68000,11.5
1723454287.64317,69000,8.75
1723454301.2226427,70000,9.5
1723454314.443222,71000,14.75
1723454326.0741491,72000,7.5
1723454338.7615907,73000,11.0
1723454351.0429497,74000,10.25
1723454363.008428,75000,7.25
1723454377.2640681,76000,11.5
1723454389.0668263,77000,7.0
1723454402.1146963,78000,7.25
1723454415.0222945,79000,7.5
1723454427.7415273,80000,7.5
1723454442.6127307,81000,14.5
1723454454.6809602,82000,10.0
1723454466.9443822,83000,8.5
1723454480.5564084,84000,12.0
1723454494.3017628,85000,11.5
1723454506.3535557,86000,9.5
1723454519.1401916,87000,8.25
1723454533.7644935,88000,13.0
1723454547.355814,89000,12.25
1723454561.2832487,90000,18.0
1723454573.3300188,91000,9.75
1723454587.1744354,92000,9.5
1723454601.3856595,93000,9.25
1723454614.4367282,94000,12.0
1723454628.6479864,95000,8.5
1723454641.8528929,96000,10.5
1723454654.8164873,97000,11.5
1723454667.5934658,98000,12.25
1723454679.8272986,99000,12.25
1723454693.15696,100000,14.5
