Wall time,Step,Value
1722066691.8334765,22,0.0
1722066691.8689284,68,0.0
1722066691.8860288,91,0.0
1722066691.9033396,114,0.0
1722066692.0261846,278,1.0
1722066692.047411,301,0.0
1722066692.1262743,419,2.0
1722066692.1777384,488,0.0
1722066692.2001555,511,0.0
1722066692.2159708,532,0.0
1722066692.249653,578,0.0
1722066692.2656238,599,0.0
1722066692.2885308,622,0.0
1722066692.322133,668,0.0
1722066692.339144,691,0.0
1722066692.3945885,758,0.0
1722066692.4117737,781,0.0
1722066692.4291785,804,0.0
1722066692.445642,827,0.0
1722066692.468036,850,0.0
1722066692.5204048,919,0.0
1722066692.5371659,942,0.0
1722066692.574758,986,0.0
1722066692.5911093,1009,0.0
1722066692.6073282,1032,0.0
1722066692.6238275,1055,0.0
1722066692.6646101,1106,1.0
1722066692.8844044,1418,0.0
1722066692.900821,1441,0.0
1722066692.9173374,1464,0.0
1722066692.971575,1533,1.0
1722066692.9884377,1556,0.0
1722066693.0067215,1579,0.0
1722066693.023215,1602,0.0
1722066693.0709012,1674,1.0
1722066693.1309931,1746,1.0
1722066693.1647735,1792,0.0
1722066693.2199175,1861,0.0
1722066693.236927,1884,0.0
1722066693.2534614,1907,0.0
1722066693.270004,1930,0.0
1722066701.0096753,2070,0.0
1722066701.2087407,2093,0.0
1722066701.3909414,2114,0.0
1722066701.5702987,2135,0.0
1722066701.9672496,2181,0.0
1722066702.1686907,2204,0.0
1722066702.5318813,2248,0.0
1722066702.9106169,2294,0.0
1722066704.433973,2480,4.0
1722066704.6033971,2501,0.0
1722066704.7710183,2522,0.0
1722066705.1901438,2573,1.0
1722066705.7833192,2647,1.0
1722066706.3544896,2718,1.0
1722066706.72785,2764,0.0
1722066706.9106247,2787,0.0
1722066707.0998588,2810,0.0
1722066707.4656868,2856,0.0
1722066707.6524389,2879,0.0
1722066708.6324642,2994,0.0
1722066709.6117542,3114,1.0
1722066709.8099663,3137,0.0
1722066710.4062092,3206,0.0
1722066710.6030362,3229,0.0
1722066711.0025375,3275,0.0
1722066711.1992242,3298,0.0
1722066711.3951616,3321,0.0
1722066711.5818882,3344,0.0
1722066711.7758837,3367,0.0
1722066711.964526,3390,0.0
1722066712.1390264,3411,0.0
1722066712.514129,3457,0.0
1722066712.9404528,3508,1.0
1722066713.767095,3610,2.0
1722066714.521629,3700,0.0
1722066714.713008,3723,0.0
1722066715.470892,3815,0.0
1722066715.6404178,3836,0.0
1722066716.3828695,3928,0.0
1722066716.5686395,3951,0.0
1722066716.7603884,3974,0.0
1722066716.9482968,3997,0.0
1722066717.1437707,4020,0.0
1722066717.4918277,4064,0.0
1722066717.8617108,4108,0.0
1722066718.0483146,4131,0.0
1722066718.2367332,4154,0.0
1722066718.4223893,4177,0.0
1722066719.588144,4315,0.0
1722066719.7802114,4338,0.0
1722066719.9755294,4361,0.0
1722066720.1710265,4384,0.0
1722066720.3662164,4407,0.0
1722066720.950839,4476,0.0
1722066722.594733,4670,0.0
1722066722.9771273,4714,0.0
1722066723.78192,4810,2.0
1722066724.1671038,4856,0.0
1722066724.366225,4879,0.0
1722066725.1380122,4969,1.0
1722066725.331688,4992,0.0
1722066725.5308518,5015,0.0
1722066726.3350415,5107,1.0
1722066726.7020302,5151,0.0
1722066727.093752,5197,0.0
1722066727.289478,5220,0.0
1722066727.4619138,5241,0.0
1722066728.2148683,5332,0.0
1722066728.4117806,5355,0.0
1722066728.5988832,5378,0.0
1722066728.7923245,5401,0.0
1722066728.9836802,5424,0.0
1722066729.3601937,5468,0.0
1722066729.5639908,5491,0.0
1722066730.1645248,5558,1.0
1722066730.6083577,5609,1.0
1722066731.0706203,5662,1.0
1722066731.2713242,5685,0.0
1722066731.4845335,5708,0.0
1722066732.0632558,5775,0.0
1722066732.2645855,5798,0.0
1722066732.459782,5821,0.0
1722066732.6532433,5844,0.0
1722066733.470136,5939,0.0
1722066734.067655,6008,0.0
1722066734.262388,6031,0.0
1722066734.692487,6082,1.0
1722066735.3086736,6156,1.0
1722066735.5047674,6179,0.0
1722066735.7014678,6202,0.0
1722066735.9034936,6225,0.0
1722066736.2891417,6269,0.0
1722066736.706875,6319,1.0
1722066736.8921707,6340,0.0
1722066737.2820394,6384,0.0
1722066737.9159245,6458,1.0
1722066738.3186932,6504,0.0
1722066738.497303,6525,0.0
1722066738.8921223,6571,0.0
1722066739.0924995,6594,0.0
1722066739.3041453,6617,0.0
1722066739.5003607,6640,0.0
1722066739.90984,6689,1.0
1722066740.3103676,6735,0.0
1722066740.5143995,6758,0.0
1722066740.7073805,6781,0.0
1722066741.875712,6922,1.0
1722066742.500441,6996,1.0
1722066742.9382107,7049,1.0
1722066743.292937,7093,0.0
1722066743.491632,7116,0.0
1722066743.6829967,7139,0.0
1722066743.8768737,7162,0.0
1722066744.0629537,7185,0.0
1722066744.2624066,7208,0.0
1722066744.6626606,7254,0.0
1722066744.8500385,7277,0.0
1722066745.2367346,7323,0.0
1722066745.43047,7346,0.0
1722066745.626103,7369,0.0
1722066745.8149848,7392,0.0
1722066746.0110688,7415,0.0
1722066746.1810873,7436,0.0
1722066746.7391903,7505,0.0
1722066746.9275389,7528,0.0
1722066747.1224766,7551,0.0
1722066747.710715,7622,1.0
1722066748.082503,7666,0.0
1722066748.2771032,7689,0.0
1722066748.477969,7712,0.0
1722066748.6816113,7735,0.0
1722066749.0658348,7781,0.0
1722066749.491206,7830,1.0
1722066750.46452,7945,0.0
1722066750.8474588,7991,0.0
1722066751.025485,8012,0.0
1722066751.5982018,8081,0.0
1722066751.8007963,8104,0.0
1722066751.994365,8127,0.0
1722066752.384606,8173,0.0
1722066752.5816488,8196,0.0
1722066752.785608,8219,0.0
1722066753.637296,8319,2.0
1722066753.8348496,8342,0.0
1722066754.2891574,8395,1.0
1722066754.494355,8418,0.0
1722066754.6911926,8441,0.0
1722066755.088317,8487,0.0
1722066755.2797945,8510,0.0
1722066755.8806438,8584,1.0
1722066757.1121178,8733,3.0
1722066758.1054997,8851,1.0
1722066758.5411613,8904,1.0
1722066758.7282274,8925,0.0
1722066759.1675546,8979,1.0
1722066759.361295,9002,0.0
1722066759.555541,9025,0.0
1722066760.338802,9117,0.0
1722066760.536114,9140,0.0
1722066760.7293158,9163,0.0
1722066761.1442864,9212,1.0
1722066761.3400874,9235,0.0
1722066761.5246575,9258,0.0
1722066761.9212134,9304,0.0
1722066762.114188,9327,0.0
1722066762.3040617,9350,0.0
1722066762.484723,9373,0.0
1722066762.6780756,9396,0.0
1722066762.8764663,9419,0.0
1722066763.2548425,9465,0.0
1722066763.4414115,9488,0.0
1722066764.4565876,9609,2.0
1722066764.6383421,9632,0.0
1722066764.8079238,9653,0.0
1722066765.1977427,9699,0.0
1722066766.5837586,9857,1.0
1722066767.21721,9935,0.0
1722066767.411829,9958,0.0
1722066767.6052463,9981,0.0
1722066767.8121052,10004,0.0
1722066768.005254,10027,0.0
1722066768.8240004,10119,0.0
1722066769.0224218,10142,0.0
1722066769.4251769,10188,0.0
1722066769.8075097,10234,0.0
1722066770.0021734,10257,0.0
1722066770.1913242,10280,0.0
1722066770.3947377,10303,0.0
1722066770.5794804,10326,0.0
1722066770.7692332,10349,0.0
1722066770.9590168,10372,0.0
1722066771.1523414,10395,0.0
1722066771.3476999,10418,0.0
1722066771.8100078,10464,0.0
1722066772.044643,10487,0.0
1722066772.2651515,10510,0.0
1722066772.453222,10533,0.0
1722066772.8276432,10579,0.0
1722066772.9960334,10600,0.0
1722066774.045986,10723,2.0
1722066774.47033,10774,1.0
1722066774.9299216,10827,1.0
1722066775.40908,10881,1.0
1722066775.6057103,10902,0.0
1722066775.8212767,10925,0.0
1722066776.0374234,10948,0.0
1722066776.239635,10971,0.0
1722066776.4402642,10994,0.0
1722066776.64677,11017,0.0
1722066779.0655012,11292,1.0
1722066779.261815,11315,0.0
1722066780.7153578,11481,4.0
1722066781.3748767,11555,0.0
1722066781.5661707,11576,0.0
1722066782.5294101,11692,1.0
1722066782.911703,11738,0.0
1722066783.111067,11761,0.0
1722066783.2833664,11782,0.0
1722066785.2706347,12022,0.0
1722066785.4704185,12045,0.0
1722066786.0437675,12114,1.0
1722066786.4576612,12164,1.0
1722066786.6512313,12187,0.0
1722066786.8460414,12210,0.0
1722066787.4070742,12279,1.0
1722066787.600775,12302,0.0
1722066788.1937454,12374,1.0
1722066788.7901967,12445,1.0
1722066789.4113276,12517,1.0
1722066789.6155202,12540,0.0
1722066789.807463,12563,0.0
1722066790.0110157,12586,0.0
1722066790.424032,12632,0.0
1722066792.4941235,12869,1.0
1722066793.1341298,12941,1.0
1722066793.5903368,12992,1.0
1722066793.7998416,13015,0.0
1722066796.094474,13289,0.0
1722066796.2729456,13310,0.0
1722066796.8863106,13385,1.0
1722066797.083406,13408,0.0
1722066797.6285572,13475,0.0
1722066797.8055727,13496,0.0
1722066798.964923,13637,1.0
1722066799.5804443,13708,1.0
1722066800.645571,13830,1.0
1722066801.1023018,13883,1.0
1722066801.579513,13937,1.0
1722066802.2705965,14015,0.0
1722066802.4843307,14038,0.0
1722066802.9356477,14090,1.0
1722066803.754373,14185,1.0
1722066804.3758821,14255,1.0
1722066805.2111084,14353,2.0
1722066805.420032,14376,0.0
1722066805.6176195,14399,0.0
1722066805.8220742,14422,0.0
1722066806.0283914,14445,0.0
1722066806.2174249,14468,0.0
1722066806.596909,14514,0.0
1722066806.9968612,14563,1.0
1722066808.3687866,14729,4.0
1722066809.3705285,14850,2.0
1722066810.6097898,14993,1.0
1722066811.3537908,15079,2.0
1722066811.83091,15133,1.0
1722066812.311179,15188,1.0
1722066812.5177305,15211,0.0
1722066813.1574059,15283,0.0
1722066814.1021478,15390,1.0
1722066814.7949426,15468,0.0
1722066814.9818308,15489,0.0
1722066815.437808,15540,1.0
1722066815.8341122,15586,0.0
1722066816.0483835,15609,0.0
1722066816.249881,15632,0.0
1722066816.650362,15678,0.0
1722066817.0669932,15724,0.0
1722066817.2639027,15747,0.0
1722066817.6641126,15793,0.0
1722066817.872719,15816,0.0
1722066818.321621,15867,1.0
1722066818.9398675,15936,0.0
1722066819.1438577,15959,0.0
1722066819.7378957,16028,1.0
1722066820.3672872,16100,1.0
1722066820.9930575,16171,1.0
1722066821.630853,16243,1.0
1722066822.2735841,16317,1.0
1722066822.6740036,16363,0.0
1722066823.1023884,16412,1.0
1722066823.3079538,16435,0.0
1722066823.5123978,16458,0.0
1722066823.9588814,16509,1.0
1722066824.1599536,16532,0.0
1722066825.0019183,16627,1.0
1722066825.2072985,16650,0.0
1722066825.8462481,16722,0.0
1722066826.2857027,16773,1.0
1722066826.4849346,16796,0.0
1722066826.8807795,16840,0.0
1722066827.9141226,16958,2.0
1722066829.1846955,17108,3.0
1722066829.7550948,17177,0.0
1722066830.35016,17249,1.0
1722066830.541337,17272,0.0
1722066831.7631388,17421,4.0
1722066833.1221185,17587,4.0
1722066833.7104416,17658,1.0
1722066833.88492,17679,0.0
1722066834.4817133,17751,1.0
1722066835.306187,17850,2.0
1722066835.9442732,17922,0.0
1722066836.6597488,18006,2.0
1722066837.1135066,18060,1.0
1722066837.5802486,18115,1.0
1722066838.4164457,18213,2.0
1722066839.8202865,18384,4.0
1722066841.838299,18630,1.0
1722066844.8607454,18996,1.0
1722066847.7125888,19340,1.0
1722066849.1670995,19514,1.0
1722066849.7305844,19581,1.0
1722066850.7483993,19701,2.0
1722066850.9383717,19724,0.0
1722066851.5642874,19798,1.0
1722066851.7580776,19821,0.0
1722066852.1677494,19870,1.0
1722066852.7751267,19941,1.0
1722066852.9521012,19962,0.0
1722066853.1516309,19985,0.0
1722066853.3477948,20008,0.0
1722066853.7693038,20057,1.0
1722066854.3946097,20129,0.0
1722066854.8428946,20182,1.0
1722066856.190135,20337,1.0
1722066858.4123669,20602,4.0
1722066859.0319655,20677,1.0
1722066859.770032,20748,1.0
1722066860.1873379,20799,1.0
1722066860.857501,20883,2.0
1722066861.742685,20992,1.0
1722066864.1293228,21281,2.0
1722066864.3455126,21304,0.0
1722066864.5472794,21327,0.0
1722066865.4332392,21429,1.0
1722066865.6167152,21450,0.0
1722066866.0850618,21504,1.0
1722066866.5131435,21553,1.0
1722066867.339124,21647,0.0
1722066868.3881054,21768,1.0
1722066870.0226545,21961,3.0
1722066873.5426452,22376,2.0
1722066875.8124127,22639,0.0
1722066877.2546077,22805,4.0
1722066877.8477418,22876,1.0
1722066879.296964,23047,2.0
1722066880.023444,23133,2.0
1722066880.4628544,23186,1.0
1722066881.8963802,23359,3.0
1722066882.4891503,23430,1.0
1722066884.1099386,23624,1.0
1722066884.950128,23726,2.0
1722066885.3852866,23779,1.0
1722066885.8510025,23835,1.0
1722066886.2173274,23880,1.0
1722066886.6196105,23929,1.0
1722066887.8175597,24073,0.0
1722066888.0140579,24096,0.0
1722066888.2117038,24119,0.0
1722066888.851793,24193,1.0
1722066890.4733353,24385,4.0
1722066890.6728299,24408,0.0
1722066891.5971875,24517,2.0
1722066892.4310777,24615,2.0
1722066894.899526,24908,0.0
1722066895.09343,24931,0.0
1722066895.7273915,25007,0.0
1722066896.3951614,25089,2.0
1722066896.5927644,25112,0.0
1722066898.9899578,25394,4.0
1722066900.1987188,25537,1.0
1722066900.81003,25611,1.0
1722066903.5808837,25947,4.0
1722066904.5808609,26068,2.0
1722066905.2146575,26143,1.0
1722066905.8402727,26217,1.0
1722066906.4874725,26294,1.0
1722066907.3017921,26389,0.0
1722066908.1374686,26489,2.0
1722066908.5976534,26542,1.0
1722066908.7980695,26565,0.0
1722066909.7048666,26672,2.0
1722066911.899328,26932,4.0
1722066912.901452,27053,2.0
1722066913.5046885,27125,1.0
1722066914.3605068,27227,2.0
1722066914.97979,27302,1.0
1722066915.41671,27355,1.0
1722066916.8509743,27529,1.0
1722066917.4594667,27602,1.0
1722066918.7217689,27755,2.0
1722066919.1855528,27809,1.0
1722066919.3771715,27832,0.0
1722066919.830131,27887,1.0
1722066920.2857049,27938,1.0
1722066922.653987,28210,3.0
1722066923.2367163,28277,1.0
1722066924.8936114,28467,5.0
1722066925.5142224,28538,1.0
1722066929.6453838,29023,2.0
1722066931.0156696,29191,4.0
1722066931.6113446,29261,1.0
1722066933.6776805,29511,5.0
1722066934.0659168,29557,0.0
1722066934.4995382,29608,1.0
1722066935.073452,29676,1.0
1722066935.742043,29757,2.0
1722066936.2951214,29824,1.0
1722066936.7247367,29875,1.0
1722066937.5908024,29982,1.0
1722066938.0472574,30037,1.0
1722066938.4046807,30081,1.0
1722066939.8252954,30247,4.0
1722066941.0767763,30390,1.0
1722066941.817576,30474,2.0
1722066942.471897,30548,1.0
1722066942.9065785,30599,1.0
1722066943.784696,30704,1.0
1722066945.0310104,30855,3.0
1722066945.2233438,30878,0.0
1722066946.4306178,31025,3.0
1722066947.0182438,31097,1.0
1722066947.6170876,31168,1.0
1722066948.8606906,31314,1.0
1722066951.4659019,31623,1.0
1722066951.8783548,31673,1.0
1722066953.7022583,31894,2.0
1722066956.1606567,32193,2.0
1722066957.5304968,32359,4.0
1722066958.7490444,32502,1.0
1722066959.438022,32576,1.0
1722066960.5955777,32702,1.0
1722066962.4638903,32920,1.0
1722066963.5597034,33046,1.0
1722066965.0029407,33212,4.0
1722066966.0250037,33333,2.0
1722066967.579343,33520,3.0
1722066968.1841092,33594,1.0
1722066969.5542772,33760,4.0
1722066970.1430128,33831,1.0
1722066970.7304988,33903,1.0
1722066971.145875,33953,1.0
1722066971.7581,34027,1.0
1722066973.2395763,34193,4.0
1722066974.3169599,34314,2.0
1722066975.385937,34435,2.0
1722066976.1245518,34519,2.0
1722066977.3324451,34656,1.0
1722066980.0780559,34970,3.0
1722066980.5528378,35025,1.0
1722066981.390296,35125,2.0
1722066982.4263651,35250,1.0
1722066982.875668,35303,1.0
1722066983.4690716,35375,1.0
1722066984.0424707,35444,1.0
1722066984.4675558,35496,1.0
1722066986.5169914,35742,1.0
1722066986.952767,35795,1.0
1722066988.989714,36032,4.0
1722066989.6146655,36103,1.0
1722066990.895883,36249,1.0
1722066991.099982,36270,0.0
1722066995.4160483,36754,2.0
1722066996.0315948,36828,1.0
1722066996.4584064,36879,1.0
1722066998.0142066,37070,0.0
1722066998.2069209,37093,0.0
1722066999.0523186,37195,2.0
1722066999.4684649,37246,1.0
1722066999.6574674,37269,0.0
1722067000.2325015,37338,1.0
1722067000.6454217,37388,1.0
1722067001.657888,37510,1.0
1722067002.077244,37561,1.0
1722067002.2741313,37584,0.0
1722067002.4705985,37607,0.0
1722067002.6641629,37630,0.0
1722067004.0603938,37796,4.0
1722067005.111008,37917,2.0
1722067005.7275171,37989,1.0
1722067006.1524222,38039,1.0
1722067007.2390869,38164,1.0
1722067008.1814854,38273,1.0
1722067009.0251434,38372,2.0
1722067010.2009902,38510,1.0
1722067010.9864197,38605,1.0
1722067011.1752186,38628,0.0
1722067011.6011145,38679,1.0
1722067012.0601878,38732,1.0
1722067012.5139148,38786,1.0
1722067013.862306,38943,2.0
1722067014.4883387,39012,1.0
