Wall time,Step,Value
1723455923.0488026,0,0.25
1723455925.1541734,1000,1.75
1723455927.325106,2000,1.75
1723455951.9240482,3000,1.75
1723455966.4874508,4000,4.0
1723455980.566673,5000,2.5
1723455994.8916905,6000,4.75
1723456009.1375945,7000,0.5
1723456022.5932062,8000,0.5
1723456036.7783287,9000,2.5
1723456051.0502245,10000,4.25
1723456065.182449,11000,1.75
1723456080.556459,12000,9.5
1723456096.451096,13000,12.0
1723456111.2200534,14000,5.0
1723456126.255816,15000,5.5
1723456140.9665632,16000,3.5
1723456155.8574207,17000,4.0
1723456171.674673,18000,8.0
1723456187.4117033,19000,6.5
1723456202.762573,20000,8.75
1723456218.147191,21000,7.0
1723456232.800278,22000,7.5
1723456249.058103,23000,9.25
1723456264.669291,24000,9.0
1723456280.7000623,25000,11.25
1723456297.0471373,26000,10.0
1723456312.932564,27000,10.0
1723456329.8220346,28000,14.75
1723456346.2933552,29000,12.5
1723456361.699375,30000,10.0
1723456377.3213155,31000,10.0
1723456394.7804706,32000,16.0
1723456411.5800872,33000,15.0
1723456428.4752913,34000,17.0
1723456444.492566,35000,11.75
1723456459.7485764,36000,14.5
1723456475.8525243,37000,16.5
1723456492.5896502,38000,14.25
1723456509.552691,39000,16.0
1723456527.4528146,40000,22.0
1723456544.1388197,41000,14.25
1723456561.9958646,42000,17.25
1723456580.5208497,43000,18.75
1723456597.7155156,44000,12.0
1723456616.0196881,45000,15.75
1723456633.3874054,46000,19.0
1723456652.6998997,47000,22.25
1723456671.3178184,48000,16.5
1723456689.2981675,49000,20.5
1723456707.619304,50000,19.25
1723456725.8982143,51000,17.75
1723456744.8668826,52000,20.0
1723456765.4673936,53000,23.75
1723456785.842107,54000,29.0
1723456803.9371252,55000,20.0
1723456822.3797245,56000,22.5
1723456840.6155276,57000,23.0
1723456860.169749,58000,20.5
1723456877.4496841,59000,17.0
1723456894.9320369,60000,19.75
1723456911.6932077,61000,15.25
1723456930.359407,62000,22.0
1723456946.0572262,63000,14.0
1723456964.4268248,64000,26.25
1723456982.713037,65000,24.0
1723457001.9205887,66000,29.75
1723457019.2544842,67000,19.0
1723457036.685681,68000,22.25
1723457056.9181466,69000,32.25
1723457076.8152878,70000,21.0
1723457095.9354365,71000,18.75
1723457114.1096737,72000,20.5
1723457132.1855059,73000,26.25
1723457151.2456226,74000,22.0
1723457169.451013,75000,19.75
1723457188.8878202,76000,28.25
1723457208.7684553,77000,26.25
1723457226.8936687,78000,22.0
1723457245.7552478,79000,25.0
1723457264.5106583,80000,22.25
1723457284.017326,81000,28.5
1723457304.0457401,82000,33.5
1723457323.7809842,83000,28.75
1723457342.401694,84000,23.75
1723457362.127489,85000,25.0
1723457382.0005305,86000,21.75
1723457400.876557,87000,30.25
1723457420.5302396,88000,32.75
1723457440.5135546,89000,26.25
1723457460.353292,90000,28.0
1723457480.2242854,91000,30.0
1723457498.8757114,92000,31.0
1723457518.9378304,93000,33.25
1723457538.1572378,94000,28.5
1723457557.7081592,95000,27.25
1723457577.4326024,96000,27.5
1723457597.9592893,97000,31.0
1723457616.817137,98000,22.5
1723457635.4341562,99000,26.75
1723457656.097504,100000,34.5
