Wall time,Step,Value
1722071262.354965,233,3.0
1722071262.4461915,396,1.0
1722071262.5577636,587,2.0
1722071262.6253297,698,0.0
1722071262.7383058,904,2.0
1722071262.8096774,1019,0.0
1722071262.9026775,1178,1.0
1722071263.0008328,1339,1.0
1722071263.089415,1480,1.0
1722071263.1588602,1595,0.0
1722071263.2267988,1706,0.0
1722071263.3376732,1879,2.0
1722071263.410337,1994,0.0
1722071285.8577878,2137,1.0
1722071288.1021304,2248,0.0
1722071290.330522,2359,0.0
1722071298.2130656,2749,9.0
1722071305.9893317,3139,9.0
1722071309.6762455,3325,2.0
1722071315.3545418,3608,4.0
1722071323.1142333,3998,9.0
1722071325.3490694,4113,0.0
1722071327.6297677,4228,0.0
1722071329.9911516,4343,0.0
1722071332.1869948,4454,0.0
1722071334.4968827,4569,0.0
1722071336.8330777,4684,0.0
1722071339.1530452,4799,0.0
1722071341.5295246,4914,0.0
1722071348.2599547,5252,5.0
1722071350.607632,5367,0.0
1722071352.9578848,5482,0.0
1722071360.8794363,5872,9.0
1722071367.829916,6210,5.0
1722071370.091592,6323,0.0
1722071372.4881094,6438,0.0
1722071379.3808906,6776,5.0
1722071381.630116,6887,0.0
1722071383.905029,6998,0.0
1722071387.5628324,7182,2.0
1722071390.9392486,7351,2.0
1722071393.2537951,7466,0.0
1722071395.5243566,7581,0.0
1722071397.7901356,7696,0.0
1722071400.0368297,7811,0.0
1722071402.2968988,7926,0.0
1722071404.6849446,8041,0.0
1722071406.9780235,8156,0.0
1722071409.2234683,8271,0.0
1722071411.5198936,8384,0.0
1722071413.7581415,8495,0.0
1722071417.251078,8664,2.0
1722071420.0177174,8802,1.0
1722071427.7146237,9192,9.0
1722071435.4459994,9582,9.0
1722071437.7822106,9697,0.0
1722071445.584067,10087,9.0
1722071447.8111007,10196,0.0
1722071450.625905,10336,1.0
1722071455.4193087,10572,3.0
1722071461.9459496,10898,6.0
1722071464.787326,11039,1.0
1722071467.6391382,11180,1.0
1722071470.4697697,11321,1.0
1722071472.7644787,11436,0.0
1722071475.6001432,11577,1.0
1722071478.852366,11742,2.0
1722071484.5699973,12020,4.0
1722071489.7289221,12274,11.0
1722071496.7425578,12628,21.0
1722071503.4701202,12964,5.0
1722071507.223431,13148,2.0
1722071514.0226057,13488,7.0
1722071519.2861068,13739,4.0
1722071523.3696074,13942,3.0
1722071532.3770654,14391,9.0
1722071536.6621819,14597,2.0
1722071547.103474,15110,14.0
1722071555.6048288,15532,19.0
1722071560.3091538,15766,3.0
1722071568.4422715,16167,16.0
1722071578.5399587,16666,12.0
1722071588.276963,17154,11.0
1722071590.544695,17269,0.0
1722071600.097349,17757,11.0
1722071607.755441,18147,9.0
1722071615.9488401,18562,10.0
1722071623.9845724,18963,14.0
1722071638.6712458,19700,30.0
1722071645.1288502,20032,5.0
1722071655.7925887,20575,18.0
1722071658.0617318,20690,0.0
1722071661.528614,20862,2.0
1722071670.0642972,21295,7.0
1722071677.6094356,21678,6.0
1722071687.629353,22185,12.0
1722071696.3751073,22625,10.0
1722071698.636649,22738,0.0
1722071702.4042978,22922,2.0
1722071706.161399,23106,2.0
1722071709.8616154,23290,2.0
1722071714.255196,23505,3.0
1722071718.333297,23709,2.0
1722071722.0984445,23897,2.0
1722071725.8347197,24085,2.0
1722071732.477053,24409,6.0
1722071741.6742358,24867,33.0
1722071754.4077682,25501,18.0
1722071765.1671796,26033,17.0
1722071774.890921,26508,10.0
1722071777.2296855,26623,0.0
1722071788.343921,27173,25.0
1722071791.8773587,27347,2.0
1722071797.022353,27604,11.0
1722071804.4527662,27978,7.0
1722071819.3167348,28716,26.0
1722071827.3579502,29115,15.0
1722071832.4873376,29372,11.0
1722071840.7338858,29779,15.0
1722071850.2208657,30245,9.0
1722071863.0669127,30889,19.0
1722071872.5524163,31360,11.0
1722071885.0324051,31980,19.0
1722071896.2395098,32540,13.0
1722071901.3049417,32797,11.0
1722071910.4959939,33265,12.0
1722071923.4682968,33914,20.0
1722071929.8209212,34226,9.0
1722071940.5992815,34763,26.0
1722071950.2983932,35246,15.0
1722071959.689636,35716,33.0
1722071971.1086464,36296,39.0
1722071979.890967,36744,29.0
1722071991.5847447,37321,21.0
1722072001.4175458,37815,28.0
1722072012.526906,38370,36.0
1722072026.2069721,39053,21.0
1722072032.4204445,39365,16.0
1722072045.09396,39996,36.0
1722072051.9843178,40334,13.0
1722072067.6669283,41120,28.0
1722072080.155784,41756,26.0
1722072088.8537662,42192,9.0
1722072093.2560322,42412,3.0
1722072098.3678985,42670,4.0
1722072100.6429355,42785,0.0
1722072106.76573,43093,6.0
1722072110.0610332,43261,2.0
1722072115.5487795,43524,8.0
1722072125.0492895,43997,9.0
1722072138.1695478,44658,22.0
