Wall time,Step,Value
1721714541.8199747,739,0.0
1721714542.674217,2169,0.0
1721714542.7688878,2331,1.0
1721714543.0626872,2839,4.0
1721714543.133157,2952,0.0
1721714543.7985382,4081,0.0
1721714543.8919687,4238,1.0
1721714545.2656507,6649,3.0
1721714545.8942037,7723,2.0
1721714545.9640684,7836,0.0
1721714546.071075,8027,2.0
1721714547.2951746,10125,1.0
1721714547.3659673,10240,0.0
1721714547.6776617,10781,2.0
1721714547.7495039,10896,0.0
1721714548.0332952,11386,0.0
1721714548.1275604,11546,1.0
1721714548.8106902,12768,11.0
1721714549.3094745,13631,1.0
1721714550.2194939,15268,0.0
1721714551.283741,17140,0.0
1721714551.6413143,17757,1.0
1721714551.970348,18298,0.0
1721714555.7680683,20782,0.0
1721714556.5374901,21513,2.0
1721714556.6574023,21626,0.0
1721714557.1134877,22066,4.0
1721714557.4122908,22338,1.0
1721714558.4978006,23354,1.0
1721714559.7774994,24525,0.0
1721714560.2065158,24942,0.0
1721714560.3265572,25055,0.0
1721714561.0129354,25693,0.0
1721714562.3220255,26950,1.0
1721714562.7543442,27366,2.0
1721714563.4591942,28058,5.0
1721714563.783299,28380,0.0
1721714565.1742854,29729,0.0
1721714566.1508965,30656,3.0
1721714567.1624265,31601,1.0
1721714567.2883577,31712,0.0
1721714568.3825278,32746,0.0
1721714568.4941423,32855,0.0
1721714570.8006735,35079,4.0
1721714571.0996325,35356,0.0
1721714572.3856602,36539,2.0
1721714572.8085034,36932,2.0
1721714574.542102,38520,0.0
1721714575.2355733,39133,0.0
1721714577.9210227,41653,1.0
1721714578.1116483,41839,2.0
1721714580.318519,43938,0.0
1721714580.4476004,44049,0.0
1721714582.221357,45643,1.0
1721714582.6106617,45982,0.0
1721714583.2617013,46554,1.0
1721714583.9886208,47211,1.0
1721714584.5309095,47696,1.0
1721714585.1181166,48243,2.0
1721714585.5140073,48622,0.0
1721714586.315177,49382,0.0
1721714586.6238036,49664,0.0
1721714586.7843728,49805,1.0
1721714588.4197557,51353,0.0
1721714589.1169078,52012,0.0
1721714590.101963,52927,4.0
1721714590.4830933,53272,3.0
1721714590.6930676,53458,2.0
1721714591.1789432,53891,1.0
1721714595.2611535,57644,0.0
1721714595.4167225,57787,1.0
1721714597.3051724,59423,0.0
1721714598.5167246,60509,2.0
1721714598.7084763,60670,1.0
1721714598.9926326,60924,3.0
1721714601.3784397,63078,3.0
1721714602.7135437,64311,0.0
1721714603.3398037,64889,1.0
1721714603.7296116,65243,0.0
1721714604.6101508,66075,4.0
1721714605.4754412,66893,0.0
1721714605.9388607,67318,7.0
1721714608.029634,69176,3.0
1721714609.4814785,70491,4.0
1721714609.7439923,70724,3.0
1721714612.5615919,73329,1.0
1721714612.6907003,73442,0.0
1721714613.0866616,73809,0.0
1721714614.2418265,74857,1.0
1721714615.199369,75737,1.0
1721714615.9363542,76446,2.0
1721714616.8148713,77245,1.0
1721714617.4852877,77852,1.0
1721714618.0646565,78364,0.0
1721714618.4106371,78666,0.0
1721714619.056431,79237,1.0
1721714619.185664,79350,0.0
1721714620.2514744,80337,0.0
1721714620.4315767,80495,1.0
1721714621.5453947,81490,0.0
1721714625.9926202,85560,0.0
1721714626.495893,86027,5.0
1721714626.8362572,86339,4.0
1721714626.9678583,86454,0.0
1721714627.5401163,86975,1.0
1721714627.865266,87246,1.0
1721714630.5624769,89705,1.0
1721714630.6997814,89818,0.0
1721714631.0376554,90123,0.0
1721714631.504551,90545,4.0
1721714631.7932026,90803,0.0
1721714632.5156817,91436,0.0
1721714633.1786742,92060,9.0
1721714634.1793208,92967,2.0
1721714634.728732,93476,7.0
1721714635.7884812,94424,3.0
1721714637.0983975,95608,1.0
