Wall time,Step,Value
1721714541.7356994,603,0.0
1721714542.2199373,1404,0.0
1721714542.4714663,1822,0.0
1721714542.4843912,1845,0.0
1721714542.9123366,2557,0.0
1721714543.189545,3040,0.0
1721714543.3556066,3346,4.0
1721714543.7135775,3945,0.0
1721714544.3422296,5007,0.0
1721714544.4870763,5238,0.0
1721714544.9837084,6140,0.0
1721714545.9641352,7836,0.0
1721714546.2624414,8357,0.0
1721714546.7346668,9178,0.0
1721714547.36603,10240,0.0
1721714548.3242319,11902,0.0
1721714548.670437,12492,0.0
1721714549.0960693,13265,0.0
1721714549.3273392,13654,0.0
1721714550.02899,14949,0.0
1721714550.5311615,15800,1.0
1721714550.748211,16182,0.0
1721714550.8919303,16439,2.0
1721714551.4973524,17508,0.0
1721714551.886984,18162,0.0
1721714551.957171,18275,0.0
1721714552.001484,18351,1.0
1721714552.2637043,18791,0.0
1721714555.3743763,20408,0.0
1721714556.7817347,21739,0.0
1721714557.035388,21994,1.0
1721714557.1135516,22066,1.0
1721714557.546923,22456,0.0
1721714558.2566059,23121,1.0
1721714561.3900037,26040,0.0
1721714561.8067575,26447,2.0
1721714562.7544224,27366,2.0
1721714565.0064714,29572,0.0
1721714565.2230406,29775,0.0
1721714565.9879687,30495,0.0
1721714567.8259563,32206,0.0
1721714569.873386,34189,0.0
1721714570.5258555,34796,0.0
1721714571.0259225,35289,0.0
1721714571.2878683,35532,0.0
1721714571.872134,36072,0.0
1721714572.5132558,36658,2.0
1721714574.1461456,38157,0.0
1721714574.5720294,38543,0.0
1721714574.7983344,38748,0.0
1721714575.4014444,39296,0.0
1721714575.783139,39643,0.0
1721714576.096325,39917,0.0
1721714576.1453784,39963,0.0
1721714576.4237125,40218,0.0
1721714577.7449126,41487,0.0
1721714578.9692836,42666,2.0
1721714579.0556293,42759,1.0
1721714579.2271214,42920,0.0
1721714579.5238636,43205,0.0
1721714579.6619172,43343,0.0
1721714581.257416,44761,0.0
1721714581.8200538,45282,0.0
1721714582.7141623,46074,0.0
1721714584.119203,47327,0.0
1721714585.6306996,48735,0.0
1721714585.7038884,48807,1.0
1721714586.7844641,49805,0.0
1721714587.3631613,50363,2.0
1721714587.4899766,50478,1.0
1721714588.5706306,51494,0.0
1721714588.6711254,51591,1.0
1721714589.1880069,52081,1.0
1721714590.5456228,53316,0.0
1721714591.6862469,54360,0.0
1721714591.9161434,54570,1.0
1721714593.0990372,55651,0.0
1721714593.6880267,56207,0.0
1721714594.302806,56784,2.0
1721714594.3540306,56830,0.0
1721714594.6142926,57064,0.0
1721714596.6904578,58891,0.0
1721714599.4215066,61293,0.0
1721714600.1770685,61990,0.0
1721714601.499164,63191,0.0
1721714601.876248,63544,0.0
1721714602.9651983,64547,0.0
1721714603.6307821,65151,0.0
1721714603.6528192,65174,0.0
1721714604.1919982,65687,0.0
1721714607.5167642,68706,1.0
1721714608.0296998,69176,1.0
1721714608.3856375,69496,1.0
1721714608.8273213,69888,1.0
1721714613.3841767,74083,0.0
1721714614.366051,74972,0.0
1721714617.1425388,77548,0.0
1721714618.5439904,78781,0.0
1721714619.8103375,79920,2.0
1721714621.4771266,81423,0.0
1721714621.6074514,81536,0.0
1721714621.9902608,81877,0.0
1721714622.5779366,82410,1.0
1721714622.7259796,82554,2.0
1721714623.7394168,83503,0.0
1721714624.4270365,84147,1.0
1721714624.786734,84465,0.0
1721714625.2491379,84886,0.0
1721714627.0497894,86523,0.0
1721714627.0760205,86546,0.0
1721714627.8653436,87246,0.0
1721714629.1046112,88382,0.0
1721714629.3654947,88610,0.0
1721714629.7941675,89013,0.0
1721714631.0377278,90123,0.0
1721714631.4260385,90473,2.0
1721714631.9612744,90951,0.0
1721714632.33476,91277,1.0
1721714633.17874,92060,1.0
1721714633.4934547,92345,2.0
1721714634.1559098,92946,0.0
1721714634.1793995,92967,0.0
1721714634.2107754,92990,0.0
1721714634.89111,93614,0.0
1721714635.8182356,94447,0.0
1721714636.994565,95515,0.0
1721714637.6627843,96117,0.0
1721714638.1084824,96516,1.0
1721714638.8240373,97166,0.0
1721714642.1551416,100095,0.0
1721714642.5875747,100466,0.0
1721714643.102274,100916,0.0
1721714645.3064518,102845,0.0
1721714647.2848356,104609,0.0
1721714647.310139,104632,0.0
1721714648.201034,105430,1.0
1721714648.2572114,105481,1.0
1721714648.8174074,105959,0.0
1721714649.7929692,106815,1.0
1721714651.5477273,108341,0.0
1721714651.7506702,108502,0.0
1721714652.7381094,109398,1.0
1721714653.8404596,110420,1.0
1721714654.6568944,111143,0.0
1721714654.734236,111210,0.0
1721714656.3548388,112618,0.0
1721714658.2584963,114259,0.0
1721714660.3053212,116036,0.0
1721714663.0153654,118417,0.0
1721714664.030572,119279,0.0
1721714664.3393698,119537,1.0
1721714664.7217245,119867,2.0
1721714666.098983,121056,0.0
1721714667.7746773,122511,0.0
1721714667.8523104,122580,0.0
