Wall time,Step,Value
1721705882.8390243,720,0.0
1721705884.0211697,2488,0.0
1721705884.12372,2649,1.0
1721705884.5018537,3257,3.0
1721705884.671923,3540,4.0
1721705885.3539598,4612,2.0
1721705885.4907975,4825,2.0
1721705886.8249428,6906,3.0
1721705887.5900147,8095,4.0
1721705887.6628256,8210,0.0
1721705887.7430387,8325,0.0
1721705889.290266,10883,0.0
1721705889.4019551,11070,2.0
1721705889.7526186,11653,3.0
1721705890.0720787,12194,5.0
1721705890.2156212,12431,3.0
1721705890.8708858,13491,1.0
1721705891.2978911,14174,0.0
1721705891.969562,15231,0.0
1721705892.9847813,16924,3.0
1721705893.465634,17766,1.0
1721705893.838515,18360,0.0
1721705897.734685,21018,2.0
1721705898.4215505,21675,0.0
1721705898.7125008,21962,4.0
1721705899.1666987,22403,4.0
1721705899.4194252,22629,0.0
1721705900.3867307,23551,0.0
1721705901.730213,24805,2.0
1721705902.0754035,25126,1.0
1721705902.2006547,25239,0.0
1721705902.68861,25723,0.0
1721705903.64681,26582,0.0
1721705904.2832122,27172,6.0
1721705904.6136076,27475,2.0
1721705905.0511348,27874,3.0
1721705906.2045226,28876,0.0
1721705907.2696817,29830,2.0
1721705908.4706311,30844,1.0
1721705908.65338,31005,1.0
1721705909.9480615,32173,3.0
1721705910.075714,32286,0.0
1721705912.148754,34174,2.0
1721705912.4490824,34447,1.0
1721705913.9981585,35908,3.0
1721705916.9471993,38509,3.0
1721705919.6384027,40820,1.0
1721705919.8515139,41009,2.0
1721705922.3211412,43220,0.0
1721705922.495996,43384,1.0
1721705924.5948408,45268,1.0
1721705925.139028,45730,0.0
1721705926.7979884,47174,0.0
1721705927.6601596,47939,0.0
1721705928.097602,48312,0.0
1721705928.4455144,48633,2.0
1721705929.3017867,49376,0.0
1721705929.7152953,49757,4.0
1721705931.8156288,51677,2.0
1721705932.685616,52454,0.0
1721705933.3740041,53082,0.0
1721705933.761247,53433,0.0
1721705934.0418053,53691,3.0
1721705934.4979372,54088,0.0
1721705938.9857259,58027,2.0
1721705939.1255374,58142,0.0
1721705941.33951,60114,0.0
1721705942.62123,61275,0.0
1721705942.8028595,61434,1.0
1721705942.9299,61547,0.0
1721705944.9429667,63320,3.0
1721705946.392877,64569,2.0
1721705947.0510364,65124,0.0
1721705947.3129094,65350,0.0
1721705948.670726,66503,3.0
1721705949.5333781,67256,1.0
1721705950.0357878,67725,8.0
1721705952.3309875,69779,3.0
1721705953.5134676,70829,1.0
1721705953.83065,71116,4.0
1721705956.545366,73426,0.0
1721705956.7121475,73567,1.0
1721705957.2626626,74041,3.0
1721705958.5254974,75106,1.0
1721705959.564016,75998,2.0
1721705960.299074,76623,1.0
1721705961.13656,77361,0.0
1721705961.6734526,77841,0.0
1721705962.2223198,78331,0.0
1721705962.5462651,78615,1.0
1721705963.0667841,79073,0.0
1721705963.1941342,79184,0.0
1721705964.1172462,80006,1.0
1721705964.4602754,80314,4.0
1721705965.571283,81324,0.0
1721705970.1006522,85322,2.0
1721705970.489928,85671,0.0
1721705970.6115637,85782,0.0
1721705970.7341852,85891,0.0
1721705971.3840926,86445,2.0
1721705971.7376113,86744,2.0
1721705975.0225334,89657,1.0
1721705975.2036183,89816,1.0
1721705975.560433,90122,1.0
1721705975.9561913,90466,2.0
1721705976.3183298,90789,1.0
1721705977.3041627,91641,0.0
1721705977.627181,91928,2.0
1721705978.2114418,92424,1.0
1721705978.5209546,92681,1.0
1721705979.346612,93368,1.0
1721705980.5586207,94396,1.0
1721705981.0768244,94837,2.0
1721705981.7753508,95426,2.0
1721705985.6162152,98763,2.0
1721705985.7612524,98878,0.0
1721705986.8152244,99790,2.0
