Wall time,Step,Value
1721705882.7481384,582,0.0
1721705883.470582,1675,0.0
1721705883.7897022,2167,1.0
1721705884.345918,2995,0.0
1721705884.7390876,3632,0.0
1721705884.8621163,3847,0.0
1721705885.2197242,4401,1.0
1721705885.9435587,5512,0.0
1721705886.1521065,5838,0.0
1721705887.6628833,8210,0.0
1721705888.0127184,8771,0.0
1721705888.7027125,9920,5.0
1721705889.4020178,11070,0.0
1721705890.806488,13378,0.0
1721705891.085928,13828,0.0
1721705891.3154838,14197,0.0
1721705891.7682698,14916,0.0
1721705892.3433235,15857,0.0
1721705892.5082664,16129,0.0
1721705892.6244762,16314,0.0
1721705893.2493572,17392,0.0
1721705893.72101,18180,0.0
1721705893.8249702,18337,0.0
1721705893.8584054,18383,0.0
1721705894.2292109,19022,1.0
1721705897.2306259,20548,0.0
1721705898.8523834,22091,0.0
1721705899.1344953,22380,1.0
1721705899.166761,22403,0.0
1721705899.5600076,22767,0.0
1721705900.0950284,23271,0.0
1721705902.9408095,25951,0.0
1721705903.2193873,26196,0.0
1721705904.2832763,27172,0.0
1721705906.026729,28715,0.0
1721705906.2639549,28920,0.0
1721705907.0944264,29668,0.0
1721705909.1699398,31468,0.0
1721705911.984805,34011,0.0
1721705912.3732402,34378,0.0
1721705912.8449285,34823,0.0
1721705914.0547433,35954,0.0
1721705915.6431997,37385,0.0
1721705916.1180754,37791,1.0
1721705916.3035984,37948,0.0
1721705917.0314693,38578,0.0
1721705917.4739583,38975,1.0
1721705917.9710035,39393,0.0
1721705918.1788723,39571,0.0
1721705919.4225514,40630,1.0
1721705920.677365,41737,1.0
1721705920.8043957,41860,1.0
1721705921.1790695,42182,0.0
1721705921.3585136,42348,0.0
1721705924.1865158,44902,0.0
1721705925.1921766,45776,0.0
1721705927.042619,47369,0.0
1721705928.517536,48700,0.0
1721705928.546158,48723,0.0
1721705929.8753572,49898,1.0
1721705930.4405646,50407,0.0
1721705930.512267,50474,0.0
1721705932.0364668,51892,0.0
1721705932.1179988,51959,0.0
1721705932.7162921,52477,0.0
1721705933.918046,53575,1.0
1721705935.0770562,54610,0.0
1721705935.4544742,54960,0.0
1721705936.6790795,56008,2.0
1721705937.942027,57119,0.0
1721705937.9889452,57163,0.0
1721705938.1886592,57322,0.0
1721705943.380833,61935,0.0
1721705943.7458034,62256,0.0
1721705945.0762563,63435,0.0
1721705945.4480166,63759,1.0
1721705946.5707765,64705,0.0
1721705947.2176056,65260,0.0
1721705947.241204,65283,0.0
1721705947.9863007,65911,2.0
1721705951.993594,69473,0.0
1721705952.331062,69779,0.0
1721705952.6541953,70051,1.0
1721705953.203827,70552,1.0
1721705957.6248002,74344,1.0
1721705961.4191165,77617,1.0
1721705962.6744294,78728,0.0
1721705965.5001328,81257,0.0
1721705965.6251853,81370,0.0
1721705966.1114247,81814,0.0
1721705966.3951035,82070,1.0
1721705966.5867956,82234,0.0
1721705967.4621341,83021,0.0
1721705968.1536973,83608,0.0
1721705968.806369,84201,1.0
1721705969.1828704,84524,0.0
1721705970.8711941,86004,0.0
1721705970.8977652,86027,0.0
1721705971.737673,86744,0.0
1721705973.0058486,87856,0.0
1721705973.62233,88418,4.0
1721705973.917844,88676,0.0
1721705975.5604959,90122,0.0
1721705975.9295368,90443,0.0
1721705976.4865446,90930,1.0
1721705977.0657704,91433,1.0
1721705977.7987795,92066,0.0
1721705978.1357296,92353,0.0
1721705978.2115035,92424,1.0
1721705978.241741,92447,0.0
1721705978.7250736,92847,0.0
1721705979.4372513,93439,1.0
1721705980.4473417,94301,0.0
1721705981.7754126,95426,0.0
1721705982.775797,96331,2.0
1721705987.7193358,100590,0.0
1721705992.1297257,104504,0.0
1721705992.2032611,104573,1.0
1721705993.2404394,105519,0.0
1721705993.2716234,105542,0.0
1721705993.963445,106176,0.0
1721705995.1072915,107181,0.0
1721705997.421849,109263,1.0
1721705998.2311122,109975,0.0
1721705999.3299704,110957,0.0
1721706000.431645,111954,0.0
1721706000.5092072,112021,0.0
1721706004.043444,115052,0.0
1721706006.3918285,117129,0.0
1721706008.8448136,119369,0.0
1721706009.623224,120031,0.0
1721706010.085306,120453,1.0
1721706010.3838525,120710,0.0
1721706011.6851828,121877,0.0
1721706013.5785203,123556,0.0
1721706013.7003603,123673,1.0
1721706014.9314985,124694,0.0
1721706015.4569888,125132,0.0
1721706017.7984402,127159,0.0
1721706017.8830166,127226,0.0
1721706018.0561807,127377,0.0
1721706018.5112915,127755,2.0
1721706018.6853874,127902,0.0
1721706019.6161282,128731,0.0
1721706020.371327,129378,0.0
1721706022.6777387,131367,0.0
1721706023.40999,131972,0.0
1721706026.8647795,134882,0.0
1721706026.925898,134928,0.0
1721706029.158874,136760,0.0
1721706029.8243976,137361,2.0
1721706030.5886395,138013,2.0
1721706032.3472183,139502,1.0
1721706033.6112764,140560,0.0
1721706033.9838066,140881,0.0
1721706034.9131835,141652,0.0
1721706036.5658462,143059,2.0
1721706037.632591,143961,0.0
1721706038.0644846,144310,0.0
1721706038.191692,144423,0.0
1721706039.100657,145195,0.0
1721706040.7506032,146654,1.0
1721706041.2958078,147148,2.0
1721706043.1055725,148746,0.0
1721706044.622282,150059,2.0
1721706047.892187,152772,0.0
1721706048.4908898,153282,0.0
1721706054.5194364,158344,0.0
1721706058.7633657,161947,1.0
1721706058.9048278,162081,0.0
1721706060.154134,163155,0.0
1721706062.3698413,165046,0.0
1721706064.277779,166642,0.0
1721706066.3380995,168358,0.0
1721706066.3953323,168404,0.0
1721706066.5687432,168542,0.0
1721706067.1543136,169037,1.0
1721706068.3829648,170069,0.0
1721706070.7394772,172041,1.0
1721706073.147677,174039,0.0
1721706073.2354627,174108,0.0
1721706073.264034,174131,0.0
1721706073.7049837,174484,0.0
1721706075.747955,176182,0.0
1721706076.9945595,177207,0.0
1721706077.9107409,177971,0.0
1721706078.8979821,178811,0.0
1721706080.8332672,180433,1.0
1721706086.0160003,184806,1.0
1721706086.386274,185116,0.0
1721706086.444525,185162,0.0
1721706088.4587064,186836,0.0
1721706088.699797,187028,0.0
1721706089.296794,187505,0.0
1721706089.5419023,187716,0.0
1721706091.5327954,189359,0.0
1721706092.0468025,189780,0.0
1721706093.3814938,190844,3.0
1721706094.2362068,191566,0.0
1721706095.3032293,192453,1.0
1721706095.746408,192825,0.0
1721706097.2539375,194072,0.0
1721706098.3255572,194928,2.0
1721706098.4658256,195041,1.0
1721706100.6366334,196820,0.0
1721706100.9653852,197077,1.0
1721706102.5191727,198343,1.0
1721706105.0738964,200501,1.0
1721706105.4874628,200841,0.0
1721706108.095676,203008,0.0
1721706116.2071695,209775,1.0
1721706119.3796568,212376,0.0
1721706120.4564185,213244,0.0
1721706121.6085315,214176,0.0
1721706124.3614128,216408,0.0
1721706126.0826886,217842,0.0
1721706126.8042774,218436,3.0
1721706130.572284,221511,0.0
1721706131.916192,222627,0.0
1721706133.566079,224002,2.0
1721706134.2443423,224569,0.0
1721706136.8751912,226725,0.0
1721706140.5018895,229698,0.0
1721706142.287822,231170,1.0
1721706142.4711347,231311,0.0
1721706142.6412494,231449,0.0
1721706147.1001859,235039,3.0
1721706147.7350278,235538,0.0
1721706149.8094628,237218,1.0
1721706152.441358,239342,2.0
1721706152.5265324,239416,0.0
1721706153.9835598,240602,1.0
1721706154.0701764,240671,1.0
1721706154.314339,240861,2.0
1721706154.6567395,241132,1.0
1721706163.1812189,247854,0.0
1721706163.9006343,248418,0.0
1721706164.2082705,248674,1.0
1721706164.6351197,249016,0.0
1721706164.8914673,249205,0.0
1721706165.6561415,249808,0.0
1721706165.8652058,249967,0.0
1721706166.2294605,250246,0.0
1721706167.2401874,251036,0.0
1721706170.7436395,253842,0.0
1721706173.4121141,255913,0.0
1721706174.2414424,256586,1.0
1721706175.3721876,257461,0.0
1721706178.4419405,259872,0.0
1721706181.084688,261924,0.0
1721706181.736884,262462,1.0
1721706182.0939763,262742,2.0
1721706185.8109577,265718,0.0
1721706185.8860703,265785,0.0
1721706186.3121216,266108,0.0
1721706190.1389074,269057,0.0
1721706190.4431195,269294,1.0
1721706190.6042871,269415,1.0
1721706193.9903574,272083,0.0
1721706197.8403358,275082,1.0
1721706198.0311847,275225,0.0
1721706198.5046587,275604,0.0
1721706200.775295,277386,0.0
1721706201.6433372,278059,0.0
1721706203.3113084,279359,1.0
1721706205.68862,281225,0.0
1721706206.7889884,282074,0.0
1721706208.723353,283535,0.0
1721706210.5158212,284932,1.0
1721706211.534813,285744,1.0
1721706212.5081868,286493,0.0
1721706216.6350756,289669,0.0
1721706218.4024556,291015,2.0
1721706218.6609812,291212,2.0
1721706218.723776,291258,0.0
1721706219.190894,291624,0.0
1721706220.577386,292695,0.0
1721706221.1031895,293090,0.0
1721706221.8318317,293637,0.0
1721706222.643837,294281,1.0
1721706223.2316396,294728,1.0
1721706225.968433,296819,2.0
1721706226.6049583,297306,1.0
1721706226.7185585,297399,1.0
1721706228.991342,299119,0.0
1721706229.6931856,299661,1.0
1721706230.6948855,300420,0.0
1721706234.9471803,303620,0.0
1721706235.044875,303687,0.0
1721706236.8466341,305074,0.0
1721706238.882167,306613,5.0
1721706239.1222334,306801,4.0
1721706240.4367905,307815,0.0
1721706241.801374,308886,0.0
1721706242.8945026,309704,0.0
1721706245.6410105,311800,0.0
1721706246.0855532,312136,1.0
1721706247.5749674,313195,0.0
1721706251.6984048,316419,0.0
1721706255.2588947,319120,1.0
1721706257.3147895,320642,2.0
1721706259.861613,322524,1.0
1721706261.8737326,324013,5.0
1721706262.7739854,324698,1.0
1721706265.1241367,326449,0.0
1721706265.6726072,326866,0.0
1721706268.22287,328747,1.0
1721706269.335246,329548,0.0
