Wall time,Step,Value
1721754628.8757393,657,1.0
1721754629.8877637,2347,0.0
1721754630.0009122,2548,3.0
1721754630.2591782,2986,0.0
1721754630.3522317,3147,1.0
1721754631.0391734,4323,0.0
1721754631.148226,4510,2.0
1721754632.503982,6839,2.0
1721754633.1449273,7911,0.0
1721754633.2678068,8126,3.0
1721754633.4044154,8365,3.0
1721754633.860501,9131,0.0
1721754634.666546,10492,0.0
1721754634.7410748,10605,0.0
1721754635.0281572,11084,2.0
1721754635.1999557,11394,7.0
1721754635.433362,11775,0.0
1721754635.5048366,11888,0.0
1721754636.1888814,13110,0.0
1721754636.6762798,13969,1.0
1721754637.2686176,14969,1.0
1721754638.112771,16407,0.0
1721754638.4891276,17061,0.0
1721754638.8871987,17757,1.0
1721754645.5701442,20016,1.0
1721754646.3551347,20656,1.0
1721754646.6212797,20892,3.0
1721754647.132022,21344,0.0
1721754647.4024653,21572,0.0
1721754648.5171711,22494,1.0
1721754649.9729624,23663,2.0
1721754650.38604,24014,1.0
1721754650.5384126,24129,0.0
1721754651.411933,24858,1.0
1721754652.9133627,26076,4.0
1721754653.383351,26457,0.0
1721754653.861689,26857,2.0
1721754654.2984078,27223,4.0
1721754655.8526185,28533,6.0
1721754655.988388,28646,0.0
1721754656.887928,29402,3.0
1721754658.3107085,30612,2.0
1721754658.4421678,30727,0.0
1721754659.726965,31791,0.0
1721754659.867998,31902,0.0
1721754662.1006162,33846,0.0
1721754662.5983942,34288,3.0
1721754663.9906473,35483,0.0
1721754664.2738187,35711,0.0
1721754666.064777,37182,0.0
1721754666.902557,37900,0.0
1721754669.7995028,40354,2.0
1721754670.049519,40564,2.0
1721754672.5559833,42656,2.0
1721754672.8053346,42862,2.0
1721754672.9507856,42977,0.0
1721754674.8320253,44515,1.0
1721754675.427226,45023,2.0
1721754676.1771758,45651,0.0
1721754676.9789906,46351,2.0
1721754677.5366435,46814,2.0
1721754678.421824,47561,1.0
1721754678.9383519,47980,4.0
1721754680.1298044,48958,4.0
1721754680.4233928,49184,0.0
1721754680.6287422,49343,1.0
1721754682.7591076,51073,2.0
1721754683.5474155,51729,0.0
1721754684.275973,52341,2.0
1721754684.6810942,52672,3.0
1721754684.8774922,52831,1.0
1721754685.5284872,53384,3.0
1721754688.7110586,56026,4.0
1721754690.925944,57885,0.0
1721754691.2144828,58122,3.0
1721754693.2606912,59789,0.0
1721754694.533442,60818,1.0
1721754694.9301152,61157,6.0
