Wall time,Step,Value
1721754628.761511,477,0.0
1721754629.385283,1508,0.0
1721754629.7235801,2077,0.0
1721754629.735985,2098,0.0
1721754630.188355,2873,0.0
1721754630.4677653,3360,3.0
1721754630.5244927,3452,0.0
1721754630.9546,4187,0.0
1721754631.8161414,5709,0.0
1721754631.934166,5893,0.0
1721754632.2659202,6439,0.0
1721754632.4762862,6788,0.0
1721754633.2678673,8126,0.0
1721754633.5634267,8621,0.0
1721754634.0054457,9359,0.0
1721754634.7411351,10605,0.0
1721754635.6430986,12122,2.0
1721754636.1498685,13041,0.0
1721754636.452104,13576,0.0
1721754636.6958044,13992,0.0
1721754637.032007,14547,0.0
1721754637.51143,15365,0.0
1721754637.6732016,15640,0.0
1721754637.7577338,15776,0.0
1721754638.3676746,16860,1.0
1721754638.7820895,17574,0.0
1721754638.8743641,17734,0.0
1721754638.9059124,17780,0.0
1721754639.1840115,18254,0.0
1721754639.9751978,19649,0.0
1721754646.9409118,21185,0.0
1721754647.1087224,21321,0.0
1721754647.1320858,21344,0.0
1721754647.6522977,21783,1.0
1721754648.2115653,22243,0.0
1721754651.7213361,25112,0.0
1721754652.073761,25389,0.0
1721754653.3834279,26457,0.0
1721754655.7488759,28438,2.0
1721754656.0432794,28690,0.0
1721754656.7536554,29287,0.0
1721754659.1279497,31298,0.0
1721754661.499087,33328,1.0
1721754661.994356,33754,0.0
1721754662.4661674,34173,0.0
1721754663.0022442,34640,0.0
1721754663.5449681,35099,0.0
1721754664.0470116,35529,0.0
1721754665.6545792,36839,1.0
1721754666.1364248,37233,1.0
1721754666.371737,37440,0.0
1721754666.9930592,37969,0.0
1721754667.3280678,38239,0.0
1721754667.768237,38615,2.0
1721754667.8194852,38661,0.0
1721754668.124369,38936,0.0
1721754669.5448685,40123,0.0
1721754670.9059017,41277,0.0
1721754670.9602425,41323,0.0
1721754671.041234,41392,0.0
1721754671.4046767,41693,0.0
1721754671.6165974,41877,2.0
1721754673.7334738,43598,0.0
1721754674.418132,44169,0.0
1721754675.4825213,45069,0.0
1721754677.1174622,46466,0.0
1721754679.0262282,48047,0.0
1721754679.0537589,48070,0.0
1721754680.6288033,49343,0.0
1721754681.1391766,49746,0.0
1721754681.2293007,49815,0.0
1721754682.8628561,51161,0.0
1721754683.064988,51337,1.0
1721754683.5743716,51752,0.0
1721754684.3064919,52364,0.0
1721754684.7437088,52716,0.0
1721754686.3395085,54086,2.0
1721754686.6547697,54339,0.0
1721754687.8105361,55270,0.0
1721754688.491673,55839,2.0
1721754689.5892344,56792,0.0
1721754689.7053792,56886,0.0
1721754690.0125453,57148,2.0
1721754692.7422113,59372,0.0
1721754695.5942106,61688,1.0
1721754696.219837,62193,0.0
1721754697.5835032,63319,0.0
1721754697.9765933,63650,0.0
1721754699.369759,64812,0.0
1721754700.1021717,65407,0.0
1721754700.1269424,65430,0.0
1721754700.8852818,66068,0.0
1721754704.7738297,69224,1.0
1721754705.0408025,69429,0.0
1721754705.3270047,69655,0.0
1721754705.7529724,69996,0.0
1721754710.16437,73583,0.0
1721754711.4454534,74671,0.0
1721754714.5949843,77188,0.0
1721754716.0725,78355,0.0
1721754717.6341543,79592,0.0
1721754719.4082735,80982,1.0
1721754719.7901103,81290,0.0
1721754720.1662955,81583,0.0
1721754720.6766193,81994,2.0
1721754720.9068744,82186,1.0
1721754721.5869956,82708,0.0
1721754722.282301,83284,0.0
1721754722.9354005,83814,1.0
1721754723.9030213,84610,1.0
1721754726.1377633,86476,0.0
1721754726.1608407,86499,0.0
1721754726.9914267,87171,1.0
1721754728.223944,88125,0.0
1721754728.4987364,88335,1.0
1721754728.7308297,88517,0.0
1721754730.1718152,89668,0.0
1721754730.4341948,89875,0.0
1721754731.123874,90452,0.0
1721754731.4650803,90705,0.0
1721754732.2152047,91281,0.0
1721754732.6984384,91663,0.0
1721754733.2099757,92050,0.0
1721754733.2362034,92071,0.0
1721754733.2714748,92094,0.0
1721754733.721093,92437,0.0
1721754734.4205775,92993,0.0
1721754735.4720876,93799,0.0
1721754736.3554606,94489,0.0
1721754736.9524593,94971,0.0
1721754737.8684034,95687,0.0
1721754742.1761937,99042,0.0
1721754742.4706001,99268,0.0
1721754743.1283102,99793,0.0
1721754745.709034,101864,0.0
1721754747.850097,103539,0.0
1721754747.8793073,103562,0.0
1721754748.5964868,104114,0.0
1721754748.6805716,104185,1.0
1721754749.27839,104663,0.0
1721754750.3094802,105492,0.0
1721754752.4409769,107182,0.0
1721754752.7509465,107413,0.0
1721754753.5159976,108019,0.0
1721754754.6792896,108954,1.0
1721754756.1665,110160,0.0
1721754756.4444587,110379,0.0
1721754758.1852808,111736,1.0
1721754760.8116634,113874,0.0
1721754763.3650138,115872,0.0
1721754766.1138713,118017,1.0
1721754767.0241356,118731,0.0
1721754767.2896216,118915,0.0
1721754767.568795,119118,0.0
1721754768.962326,120199,0.0
1721754770.8891578,121727,3.0
1721754771.012824,121824,0.0
1721754772.5658526,123026,0.0
1721754773.2906618,123588,0.0
1721754775.2832108,125155,0.0
1721754775.51851,125345,1.0
1721754775.8981183,125657,1.0
1721754776.4078357,126092,1.0
1721754776.4973328,126161,0.0
1721754777.4724078,126932,0.0
1721754778.4330187,127700,1.0
1721754780.8361661,129586,0.0
1721754781.74971,130285,0.0
1721754785.6034172,133310,1.0
1721754785.7272348,133407,0.0
1721754788.24057,135315,0.0
1721754788.8572032,135797,0.0
1721754789.0722187,135966,0.0
