Wall time,Step,Value
1721743832.284647,920,0.0
1721743833.327444,2694,0.0
1721743833.4141386,2835,1.0
1721743833.648597,3218,1.0
1721743833.732373,3357,1.0
1721743834.4711359,4613,0.0
1721743834.5628662,4770,1.0
1721743835.6288412,6522,0.0
1721743836.298228,7683,0.0
1721743836.3913455,7845,1.0
1721743836.4633534,7958,0.0
1721743836.901669,8706,3.0
1721743837.7072794,10111,2.0
1721743837.779159,10224,0.0
1721743838.0393193,10669,1.0
1721743838.207174,10978,7.0
1721743838.4423165,11360,0.0
1721743838.5608203,11575,2.0
1721743839.0414448,12377,0.0
1721743839.4949,13140,0.0
1721743840.1265712,14208,0.0
1721743841.0664465,15759,0.0
1721743841.4997327,16462,2.0
1721743841.8955362,17041,1.0
1721743843.266113,19122,0.0
1721743843.6028502,19651,2.0
1721743843.6772327,19762,0.0
1721743849.2060204,20207,4.0
1721743849.8807883,20812,6.0
1721743850.8456655,21660,0.0
1721743852.38266,23009,0.0
1721743852.742197,23328,2.0
1721743852.9157984,23487,1.0
1721743853.5630064,24073,2.0
1721743854.646711,25034,0.0
1721743855.1812587,25519,1.0
1721743855.563578,25866,0.0
1721743856.001222,26285,0.0
1721743857.568567,27731,1.0
1721743857.693014,27842,0.0
1721743858.7559462,28769,3.0
1721743860.3483434,30154,3.0
1721743860.4877224,30267,0.0
1721743861.6212332,31268,1.0
1721743861.8138072,31425,1.0
1721743863.6797998,33016,0.0
1721743864.0115886,33296,0.0
1721743865.4094188,34526,3.0
1721743865.801004,34857,1.0
1721743867.7887013,36546,5.0
1721743868.9753273,37574,1.0
1721743871.870244,40050,0.0
1721743872.0123203,40165,0.0
1721743874.6005626,42436,0.0
1721743874.8106365,42624,2.0
1721743874.9694471,42765,1.0
1721743877.0518818,44582,1.0
1721743877.6982412,45146,0.0
1721743878.437921,45786,0.0
1721743879.2869382,46538,4.0
1721743879.6889124,46877,0.0
1721743880.2383256,47351,2.0
1721743880.6382916,47700,2.0
1721743881.6117027,48546,0.0
1721743881.9357877,48818,0.0
1721743882.0709903,48931,0.0
1721743884.242613,50847,1.0
1721743884.9586926,51440,0.0
1721743885.6916578,52060,0.0
1721743886.047178,52378,3.0
1721743886.2399943,52537,1.0
1721743886.858482,53073,0.0
1721743889.535569,55386,0.0
1721743890.8668604,56537,0.0
1721743891.0506206,56698,1.0
1721743892.854566,58245,0.0
1721743894.1309838,59336,2.0
1721743894.445575,59602,4.0
1721743894.5894244,59717,0.0
1721743897.0220954,61709,0.0
1721743898.6985338,63124,0.0
1721743899.3354332,63650,1.0
1721743899.834945,64098,3.0
1721743900.6083605,64726,0.0
1721743901.5910068,65583,2.0
1721743901.8823092,65807,0.0
1721743904.1971374,67773,3.0
1721743905.3213768,68693,0.0
1721743905.4696994,68808,0.0
1721743907.9525776,70860,0.0
1721743908.1513424,71021,1.0
1721743908.5040905,71310,0.0
1721743909.76032,72374,1.0
1721743910.9777048,73431,0.0
1721743911.9556844,74272,1.0
1721743912.9395022,75095,1.0
1721743913.7303388,75731,0.0
1721743914.1792512,76096,1.0
1721743914.5829036,76423,2.0
1721743915.2354329,76957,0.0
1721743915.3667336,77070,0.0
1721743916.2147849,77778,0.0
1721743916.4029424,77936,1.0
1721743917.7695205,79111,2.0
1721743919.0950453,80245,0.0
1721743921.921867,82606,0.0
1721743922.361189,82959,2.0
1721743922.5462334,83101,1.0
1721743922.792545,83308,2.0
1721743923.4176397,83802,3.0
1721743923.7056837,84030,0.0
1721743926.4924142,86340,2.0
1721743926.7189171,86529,2.0
1721743927.0758896,86830,0.0
1721743927.4366162,87135,0.0
1721743927.761605,87407,1.0
1721743928.543086,88068,2.0
1721743929.0181231,88489,0.0
1721743929.9970834,89308,4.0
1721743930.3732662,89625,0.0
1721743931.590399,90651,4.0
1721743933.1636672,91898,4.0
1721743933.9774861,92564,4.0
1721743934.9856694,93382,2.0
1721743938.8515258,96582,1.0
1721743939.0464578,96740,1.0
1721743939.7755654,97317,1.0
1721743940.168014,97618,0.0
1721743940.8842418,98195,0.0
1721743941.2514327,98481,2.0
1721743945.6466546,102083,0.0
1721743945.8296962,102242,1.0
1721743947.8034165,103883,3.0
1721743948.000583,104043,1.0
1721743948.924193,104779,0.0
1721743949.1575065,104967,2.0
1721743949.9668736,105623,2.0
1721743950.7439244,106263,3.0
1721743951.9102805,107213,2.0
1721743952.1804075,107444,3.0
1721743953.3430226,108418,3.0
1721743953.8327456,108847,4.0
1721743955.1993554,109965,2.0
1721743955.693388,110366,1.0
1721743957.2593513,111630,2.0
1721743958.7059436,112813,1.0
1721743958.8519502,112928,0.0
1721743960.4417121,114239,0.0
1721743962.2743182,115753,1.0
1721743962.6255686,116025,0.0
1721743966.7797492,119398,1.0
1721743969.7344348,121777,6.0
1721743970.2668877,122201,2.0
1721743970.7779987,122603,3.0
1721743971.068753,122841,3.0
1721743971.6377804,123312,0.0
1721743971.9662676,123579,4.0
1721743972.6115584,124097,3.0
1721743973.0231013,124435,5.0
1721743973.3260126,124682,4.0
1721743974.5613813,125709,2.0
1721743975.991811,126859,1.0
1721743980.4660711,130386,1.0
1721743982.2502832,131741,3.0
1721743982.7820082,132141,1.0
1721743983.1484613,132426,4.0
1721743983.5497096,132748,1.0
1721743984.0047097,133119,3.0
1721743984.5127325,133538,0.0
1721743985.762805,134535,8.0
1721743988.942776,137083,4.0
1721743989.352475,137431,7.0
1721743990.0792217,138032,3.0
1721743990.6429405,138459,1.0
1721743992.7453356,140112,2.0
1721743992.9658997,140284,2.0
1721743995.0661771,141978,0.0
1721743996.2236998,142928,3.0
1721743998.4575262,144645,4.0
1721743999.350301,145352,2.0
1721743999.885398,145759,2.0
1721744003.5834346,148751,1.0
1721744005.0979335,149958,9.0
1721744006.2113593,150832,1.0
1721744007.4733746,151806,4.0
1721744010.7268772,154373,2.0
1721744011.5440736,155028,4.0
1721744013.4199338,156527,2.0
1721744014.105382,157059,2.0
1721744014.7486758,157562,2.0
1721744015.7844741,158364,3.0
1721744016.0646522,158577,2.0
1721744017.5348217,159724,0.0
1721744023.164034,164039,4.0
1721744023.8408809,164581,3.0
1721744024.4707742,165068,2.0
1721744027.9277265,167803,4.0
1721744029.9982603,169409,3.0
1721744031.7352102,170745,2.0
1721744034.0790186,172507,2.0
1721744039.0289173,176397,4.0
1721744039.7469652,176928,2.0
1721744041.1001725,177984,4.0
1721744043.3441234,179799,2.0
1721744043.7353134,180099,1.0
1721744045.3381472,181318,4.0
1721744046.2003236,181970,8.0
1721744046.6636298,182323,2.0
1721744049.5802684,184470,3.0
1721744052.279636,186559,0.0
1721744053.459477,187458,4.0
1721744053.8837018,187786,1.0
1721744056.218809,189534,3.0
1721744056.3772461,189649,0.0
1721744062.0459485,194013,3.0
1721744063.3218195,195013,1.0
1721744066.712714,197621,4.0
1721744067.0259948,197861,3.0
1721744067.6836145,198340,3.0
1721744068.8451562,199201,4.0
1721744071.3915699,201132,3.0
1721744074.937835,203802,4.0
1721744076.227894,204750,2.0
1721744076.599345,205034,2.0
1721744077.5182748,205750,6.0
1721744078.263225,206340,3.0
1721744079.2389376,207116,5.0
1721744082.5296192,209635,3.0
1721744082.7515078,209797,1.0
1721744083.679391,210474,3.0
1721744084.0707953,210764,4.0
1721744084.8159542,211325,0.0
1721744085.5925112,211886,3.0
1721744086.5745306,212611,5.0
1721744088.171917,213843,2.0
1721744090.7411435,215790,2.0
1721744091.9660604,216735,4.0
1721744092.2977023,216986,4.0
1721744096.7952447,220397,5.0
1721744099.8517835,222673,1.0
1721744100.5144615,223171,9.0
1721744100.9597294,223508,5.0
1721744103.094089,225022,3.0
1721744104.7296388,226208,3.0
1721744105.842275,227058,2.0
1721744105.9966927,227173,0.0
1721744109.2821882,229677,2.0
1721744112.262317,231912,2.0
1721744113.5974526,232917,2.0
1721744115.2667043,234173,1.0
1721744115.8210077,234584,0.0
1721744117.3379788,235713,4.0
1721744121.9020088,239060,0.0
1721744122.3903062,239436,2.0
1721744123.994245,240583,2.0
1721744124.2346537,240742,1.0
1721744124.6746118,241047,1.0
1721744125.5881045,241717,5.0
1721744126.7761335,242582,4.0
1721744128.8790748,244099,2.0
1721744130.4391546,245187,3.0
1721744132.0370855,246339,4.0
1721744134.06979,247706,1.0
1721744135.096462,248449,1.0
1721744137.1352282,249909,12.0
1721744138.3045876,250786,0.0
1721744140.008255,251988,3.0
1721744141.6475327,253166,4.0
1721744143.1951952,254304,3.0
1721744146.4661577,256713,3.0
1721744149.2283258,258723,5.0
1721744150.3005245,259476,5.0
1721744150.6229715,259680,2.0
1721744153.3500073,261596,4.0
1721744157.149344,264348,1.0
1721744158.035479,264943,6.0
1721744160.1720738,266389,3.0
1721744162.4733484,267950,4.0
1721744164.069399,269031,4.0
1721744168.4872656,272206,9.0
1721744168.8393922,272468,4.0
1721744169.966578,273274,0.0
1721744172.5506318,275134,6.0
1721744174.1034262,276216,4.0
1721744174.996,276843,6.0
1721744182.8323371,282387,8.0
1721744189.5506735,287167,1.0
1721744190.3746436,287739,9.0
1721744190.6552627,287930,2.0
1721744190.88705,288100,2.0
1721744193.9079535,290260,4.0
1721744196.3551528,291927,3.0
1721744196.5633402,292068,1.0
1721744197.218193,292503,3.0
1721744197.4614105,292664,1.0
1721744202.5544374,296268,4.0
1721744203.131114,296666,2.0
1721744207.1503594,299483,6.0
1721744208.5232923,300451,7.0
1721744210.0745215,301546,2.0
1721744211.379602,302454,1.0
1721744212.8405309,303438,6.0
1721744214.9922726,304925,3.0
1721744215.5607655,305316,6.0
1721744215.939443,305566,4.0
1721744216.3162155,305824,0.0
1721744217.573663,306725,7.0
1721744222.945306,310414,6.0
1721744225.0834382,311912,2.0
1721744226.0181246,312599,5.0
1721744226.5415502,312972,7.0
1721744230.2288868,315570,3.0
1721744231.4414587,316393,5.0
1721744236.0104582,319589,5.0
1721744237.4745126,320633,3.0
1721744238.581477,321428,2.0
1721744240.495635,322756,3.0
1721744241.1957853,323219,0.0
1721744244.1696901,325210,9.0
1721744248.5734184,328184,4.0
1721744250.3603141,329436,7.0
1721744251.3410156,330117,7.0
1721744261.084952,336597,6.0
1721744264.9687378,339307,4.0
1721744265.8264346,339882,5.0
1721744267.1280634,340754,7.0
1721744269.5916393,342433,6.0
1721744270.1973808,342837,7.0
1721744273.5047665,345077,3.0
1721744277.6931663,347876,6.0
1721744280.1415174,349480,18.0
1721744281.9921546,350677,3.0
1721744284.4091146,352268,10.0
1721744286.0059807,353353,8.0
1721744286.5782428,353721,2.0
1721744289.1535382,355431,5.0
1721744292.6745074,357769,0.0
1721744296.187071,360184,6.0
1721744297.3410854,360954,6.0
1721744298.7697518,361913,2.0
1721744299.9706001,362719,9.0
1721744300.375482,362989,4.0
1721744300.6942093,363197,2.0
1721744303.6828775,365167,3.0
1721744305.2862308,366224,2.0
1721744305.8370738,366589,6.0
1721744308.5207543,368403,5.0
1721744312.2330008,370818,1.0
1721744312.6387434,371087,5.0
1721744314.6429493,372386,5.0
1721744315.6502497,373035,6.0
1721744319.4078429,375523,6.0
1721744323.9213364,378498,8.0
1721744328.4308815,381454,3.0
1721744328.9828281,381803,3.0
1721744331.4452345,383459,6.0
1721744332.1191788,383906,14.0
1721744334.6484542,385567,8.0
1721744336.0252163,386452,6.0
1721744337.4629838,387367,1.0
1721744339.726551,388883,4.0
1721744348.77725,394746,5.0
1721744350.8251474,396019,4.0
1721744354.7594876,398588,3.0
1721744357.5964487,400427,7.0
1721744359.0268784,401358,14.0
1721744363.8162465,404362,7.0
1721744365.8935921,405675,11.0
1721744370.8345068,408756,6.0
1721744373.2922428,410364,7.0
1721744373.843525,410716,6.0
1721744374.6224294,411231,19.0
1721744382.3345864,416199,6.0
1721744384.4699464,417546,4.0
1721744388.860684,420342,0.0
1721744391.2892914,421911,7.0
1721744393.7904222,423517,12.0
1721744397.6773207,425951,7.0
1721744397.9091563,426094,1.0
1721744398.4123113,426408,5.0
1721744400.349454,427679,12.0
1721744403.4164894,429654,12.0
1721744405.3950412,430888,2.0
1721744406.1243932,431341,10.0
1721744413.5313494,435973,1.0
1721744414.2388828,436415,11.0
1721744416.2098432,437669,5.0
1721744417.0990548,438222,13.0
1721744418.8153222,439328,5.0
1721744419.998989,440059,5.0
1721744423.6648862,442291,9.0
1721744425.2923667,443287,4.0
1721744427.227135,444500,9.0
1721744427.7045314,444787,4.0
1721744429.1881604,445689,7.0
1721744429.6889124,445995,6.0
1721744430.7371874,446653,1.0
1721744437.2289412,450721,14.0
1721744438.026062,451218,2.0
1721744442.705007,454152,13.0
1721744443.4109967,454583,9.0
1721744445.3611395,455787,13.0
1721744463.865514,467264,0.0
1721744469.856189,470895,3.0
1721744477.9473367,475811,11.0
1721744481.2444832,477757,4.0
1721744481.9555056,478198,9.0
1721744488.2505271,481950,11.0
1721744489.462962,482706,2.0
1721744495.9376285,486627,8.0
1721744502.178846,490421,3.0
1721744507.3938417,493543,9.0
1721744508.18919,494019,9.0
1721744509.4104033,494758,8.0
1721744510.9981382,495687,6.0
1721744514.0951898,497430,8.0
1721744517.6665413,499538,18.0
1721744518.3792534,499939,8.0
1721744520.6911147,501324,4.0
1721744521.086139,501565,3.0
1721744525.2391071,504029,16.0
1721744531.626073,507921,13.0
1721744533.7821145,509175,11.0
1721744539.457606,512457,4.0
1721744545.9882407,516249,8.0
1721744553.2887628,520558,12.0
1721744565.5649645,527726,7.0
1721744569.7935805,530236,1.0
1721744574.8964417,533238,18.0
1721744576.4571998,534157,7.0
1721744581.0130868,536724,5.0
1721744582.5534146,537566,10.0
1721744584.9040277,538843,10.0
1721744586.2721338,539646,26.0
1721744591.5027726,542557,13.0
1721744594.98408,544568,13.0
1721744603.959172,549824,13.0
1721744605.2030437,550547,2.0
1721744607.8625805,552083,5.0
1721744617.1395528,557398,3.0
1721744634.6653469,567380,2.0
1721744649.101112,575471,9.0
1721744653.2109346,577761,15.0
1721744654.1884527,578322,14.0
1721744662.3344243,582912,5.0
1721744665.0277052,584385,10.0
1721744669.9500184,587113,2.0
1721744677.012402,590904,20.0
1721744679.6320946,592316,15.0
1721744685.260344,595437,13.0
1721744688.765598,597439,9.0
1721744694.3791747,600639,15.0
1721744700.2911005,603977,8.0
1721744713.8040264,611700,23.0
1721744724.900738,617827,24.0
1721744729.6424901,620386,4.0
1721744733.752904,622541,33.0
1721744734.743681,623063,10.0
1721744738.1184893,624882,10.0
1721744739.253248,625477,17.0
1721744770.7470095,642636,10.0
1721744774.2841766,644535,15.0
1721744779.181502,647147,17.0
1721744779.613917,647385,3.0
1721744783.6954162,649536,0.0
1721744785.1595492,650322,27.0
1721744800.2514403,658550,28.0
1721744811.810143,664698,19.0
1721744814.459761,666128,20.0
1721744815.403901,666638,14.0
1721744838.4319804,678644,31.0
1721744845.2321658,682226,9.0
1721744852.4371815,685830,18.0
1721744854.1836135,686708,11.0
1721744858.295669,688872,34.0
1721744860.9283726,690213,19.0
1721744862.8592436,691217,29.0
1721744873.2544699,696776,25.0
1721744878.3016503,699345,21.0
1721744879.6126997,700070,24.0
1721744880.353534,700469,7.0
1721744883.0605812,701944,23.0
1721744885.3629792,703147,16.0
1721744891.6431653,706575,41.0
1721744893.3355124,707466,3.0
1721744905.095762,713430,7.0
1721744941.201262,731838,40.0
1721744942.286517,732388,16.0
1721744945.4871914,733976,24.0
1721744959.5666974,741091,52.0
1721744961.0594437,741893,21.0
1721744971.6440933,747332,29.0
1721744976.948852,749998,38.0
1721744977.9706776,750518,18.0
1721744981.680017,752379,19.0
1721744994.0324404,758605,14.0
1721744997.5460966,760394,34.0
1721745007.2045898,765106,32.0
1721745026.8022773,774787,25.0
1721745029.7198977,776238,86.0
1721745047.6354525,785141,39.0
1721745049.7304776,786157,52.0
1721745062.6834779,792586,34.0
1721745068.3778133,795347,51.0
1721745069.0076249,795642,6.0
1721745070.8254166,796522,44.0
1721745075.940304,798969,28.0
1721745112.2974145,816316,18.0
1721745128.0418096,823915,27.0
1721745130.4424262,825059,47.0
1721745134.9719744,827201,8.0
1721745150.040757,834352,18.0
1721745157.4577196,837802,44.0
1721745160.9802558,839461,34.0
1721745167.929375,842751,52.0
1721745174.359492,845830,14.0
1721745194.0367308,854970,51.0
1721745208.9102035,861870,59.0
1721745218.0857294,866067,32.0
1721745220.259843,867029,33.0
1721745230.858988,871832,75.0
1721745232.963524,872777,43.0
1721745236.0919042,874307,67.0
1721745248.1344774,879816,32.0
1721745262.6555417,886415,73.0
1721745265.5789595,887825,62.0
1721745276.7840338,892917,69.0
1721745288.670865,898333,67.0
1721745291.6599345,899673,70.0
1721745294.3474271,900967,48.0
1721745303.2797835,905154,81.0
1721745326.8363147,915883,159.0
1721745330.045681,917302,112.0
1721745332.402026,918351,47.0
1721745347.238979,924910,54.0
1721745363.523375,932169,96.0
1721745374.0853066,936852,89.0
1721745382.2451713,940431,59.0
1721745390.190236,944017,126.0
1721745394.554823,945967,56.0
1721745401.2842374,948908,84.0
1721745426.1090045,959766,109.0
1721745460.6430995,975032,92.0
1721745467.329542,977879,112.0
1721745509.9390833,996620,111.0
1721745513.4689116,998187,109.0
1721745549.8481724,1014042,79.0
1721745583.2181532,1028577,117.0
1721745590.4002047,1031697,108.0
1721745597.6433496,1034978,153.0
1721745618.0208743,1043871,199.0
1721745643.7994184,1055128,71.0
1721745647.1806538,1056599,107.0
1721745664.480478,1064122,107.0
1721745678.9681547,1070516,135.0
1721745682.8219035,1072178,286.0
1721745696.4900353,1078163,136.0
1721745740.4209614,1097246,169.0
1721745745.7606804,1099681,84.0
