Wall time,Step,Value
1721743832.2011507,788,0.0
1721743832.774911,1752,0.0
1721743833.0587194,2228,0.0
1721743833.0972896,2300,1.0
1721743833.5545,3059,0.0
1721743833.792489,3449,0.0
1721743833.8888466,3618,0.0
1721743834.3838584,4475,0.0
1721743835.0023146,5499,0.0
1721743835.1394937,5725,0.0
1721743835.4113238,6156,0.0
1721743836.3914092,7845,1.0
1721743836.635475,8246,0.0
1721743837.0160866,8884,0.0
1721743837.7792246,10224,0.0
1721743838.6855495,11782,0.0
1721743839.0018294,12308,0.0
1721743839.3267853,12870,0.0
1721743839.5141532,13163,0.0
1721743839.9125905,13847,0.0
1721743840.4037163,14648,0.0
1721743840.5690558,14919,0.0
1721743840.6555371,15057,0.0
1721743841.2506952,16040,0.0
1721743841.7690244,16855,0.0
1721743841.8801432,17018,0.0
1721743841.9156847,17064,0.0
1721743842.2061357,17545,0.0
1721743843.0755758,18833,0.0
1721743843.7301311,19831,0.0
1721743849.1752236,20184,1.0
1721743849.2060905,20207,0.0
1721743850.0348468,20951,0.0
1721743850.6150796,21457,0.0
1721743853.931731,24389,1.0
1721743854.22499,24642,0.0
1721743855.1813228,25519,0.0
1721743857.4795296,27641,0.0
1721743857.7448778,27888,0.0
1721743858.5791903,28604,0.0
1721743861.0385013,30761,0.0
1721743862.99668,32440,2.0
1721743863.5724716,32924,0.0
1721743863.9352937,33227,0.0
1721743864.2284267,33476,0.0
1721743864.8797038,34034,0.0
1721743865.4592884,34572,0.0
1721743867.1320412,35981,0.0
1721743867.8186321,36569,0.0
1721743868.2594597,36965,0.0
1721743869.056752,37643,0.0
1721743869.717309,38211,0.0
1721743869.9906917,38439,0.0
1721743870.1335306,38560,0.0
1721743870.712648,39069,1.0
1721743871.704489,39914,2.0
1721743872.9485593,41001,0.0
1721743872.9946465,41045,0.0
1721743873.2153845,41235,1.0
1721743873.5922353,41558,0.0
1721743873.748547,41696,1.0
1721743875.9019306,43600,1.0
1721743876.6229918,44218,0.0
1721743877.7539132,45192,0.0
1721743879.3718743,46605,0.0
1721743880.8094933,47846,1.0
1721743880.835377,47869,0.0
1721743882.0710552,48931,0.0
1721743882.7617514,49544,0.0
1721743882.9451435,49708,1.0
1721743884.4193199,51000,0.0
1721743884.5418255,51097,0.0
1721743885.0176845,51491,1.0
1721743886.109824,52422,0.0
1721743887.2617013,53414,0.0
1721743887.5657122,53675,1.0
1721743889.015689,54931,0.0
1721743889.431067,55296,0.0
1721743889.9686105,55759,0.0
1721743890.0296898,55805,0.0
1721743890.211397,55964,0.0
1721743892.3647606,57814,0.0
1721743895.2933624,60307,0.0
1721743895.7222743,60644,0.0
1721743897.215483,61870,0.0
1721743897.48892,62092,0.0
1721743898.913831,63306,0.0
1721743899.6381674,63909,1.0
1721743899.6625137,63932,0.0
1721743900.3173318,64500,0.0
1721743903.8130984,67446,0.0
1721743904.1972,67773,0.0
1721743904.479002,67997,0.0
1721743905.017138,68442,2.0
1721743908.8874068,71635,0.0
1721743909.8917272,72485,0.0
1721743913.2932837,75382,0.0
1721743914.7435696,76564,1.0
1721743915.8859892,77508,2.0
1721743917.6425464,78997,1.0
1721743917.9192557,79232,0.0
1721743918.4167142,79670,0.0
1721743918.7592444,79973,1.0
1721743918.8471215,80042,0.0
1721743919.517329,80619,0.0
1721743920.2305825,81225,1.0
1721743920.6860206,81590,0.0
1721743921.0630865,81889,0.0
1721743922.9214272,83405,0.0
1721743922.9461977,83428,0.0
1721743923.7057552,84030,0.0
1721743924.7695317,84913,0.0
1721743925.1359448,85212,2.0
1721743925.3553476,85390,0.0
1721743927.0759542,86830,0.0
1721743927.4088292,87112,0.0
1721743927.8728948,87499,0.0
1721743928.2454493,87813,0.0
1721743929.0181887,88489,0.0
1721743929.2912185,88703,0.0
1721743929.9669278,89285,0.0
1721743929.9971495,89308,0.0
1721743930.0294688,89331,0.0
1721743930.5920773,89815,2.0
1721743931.6255078,90674,0.0
1721743932.981622,91755,1.0
1721743934.3458302,92861,0.0
1721743934.9857328,93382,0.0
1721743935.6950634,93946,0.0
1721743940.1020544,97574,0.0
1721743940.4793973,97875,2.0
1721743940.8608944,98172,0.0
1721743944.1731138,100844,0.0
1721743946.1927152,102536,0.0
1721743946.217721,102559,0.0
1721743947.195785,103366,2.0
1721743947.3926718,103537,3.0
1721743948.0315447,104066,0.0
1721743948.9704251,104802,0.0
1721743950.8381526,106332,0.0
1721743951.0273426,106491,0.0
1721743951.7984018,107119,1.0
1721743952.9267297,108065,0.0
1721743954.0018365,108983,0.0
1721743954.252939,109195,1.0
1721743955.8001144,110456,0.0
1721743957.7324622,112017,0.0
1721743959.7119162,113631,0.0
1721743962.1437547,115638,0.0
1721743963.1165614,116428,0.0
1721743963.4354422,116683,0.0
1721743963.8651965,117037,1.0
1721743965.5649734,118412,1.0
1721743967.4212668,119923,0.0
1721743967.6171937,120087,2.0
1721743969.1561387,121306,0.0
1721743970.1808171,122132,0.0
1721743972.3209362,123863,0.0
1721743972.4635985,123976,0.0
1721743972.762618,124218,0.0
1721743973.2222908,124599,0.0
1721743973.386608,124728,0.0
1721743974.414114,125589,1.0
1721743975.2635455,126270,1.0
1721743977.3051858,127905,0.0
1721743978.1593227,128591,0.0
1721743981.5067153,131177,1.0
1721743981.6142576,131251,1.0
1721743983.894309,133027,1.0
1721743984.5416887,133561,0.0
1721743984.7140663,133697,0.0
1721743985.1193829,134013,0.0
1721743985.2062526,134082,0.0
1721743986.7413168,135315,0.0
1721743988.3191996,136592,0.0
1721743988.419298,136666,1.0
1721743988.859731,137011,0.0
1721743989.7828636,137794,1.0
1721743990.113103,138055,0.0
1721743990.3981433,138272,0.0
1721743992.2247522,139711,0.0
1721743993.4551399,140691,1.0
1721743994.1290138,141233,0.0
1721743994.2146752,141302,0.0
1721743995.2148926,142101,1.0
1721743996.9878514,143538,0.0
1721743997.691713,144067,2.0
1721743999.8312666,145713,0.0
1721744001.7628355,147277,0.0
1721744005.330503,150122,0.0
1721744005.9750438,150645,0.0
1721744012.2572906,155601,1.0
1721744012.9637487,156180,0.0
1721744017.1521387,159425,1.0
1721744017.3818202,159611,1.0
1721744018.6944344,160624,0.0
1721744021.5475833,162806,1.0
1721744023.5286486,164327,1.0
1721744026.3381839,166555,0.0
1721744026.406471,166601,0.0
1721744026.932186,167034,0.0
1721744027.3979971,167398,0.0
1721744028.959788,168623,1.0
1721744031.6739547,170699,0.0
1721744034.7516015,173039,0.0
1721744035.0393975,173265,3.0
1721744035.0629048,173288,0.0
1721744035.529144,173645,0.0
1721744037.9457433,175560,0.0
1721744039.5658917,176792,1.0
1721744040.7564075,177703,1.0
1721744042.3695276,179008,0.0
1721744044.0769706,180358,1.0
1721744044.7459822,180874,2.0
1721744049.5803347,184470,0.0
1721744050.3927817,185106,0.0
1721744050.6869555,185328,3.0
1721744053.3314717,187355,0.0
1721744053.5563302,187532,0.0
1721744054.2728438,188078,1.0
1721744054.3602347,188147,0.0
1721744054.5602422,188296,3.0
1721744056.319175,189603,0.0
1721744057.1720912,190262,2.0
1721744058.8421643,191543,0.0
1721744059.53206,192078,2.0
1721744060.3553002,192713,1.0
1721744060.8693657,193116,0.0
1721744060.9962063,193211,0.0
1721744062.7782109,194592,0.0
1721744064.1480193,195665,4.0
1721744064.2921154,195788,1.0
1721744067.220884,198005,0.0
1721744067.8153543,198438,2.0
1721744069.5668986,199752,0.0
1721744072.1139226,201653,0.0
1721744072.5810823,202005,0.0
1721744072.9409022,202289,2.0
1721744075.9535666,204541,2.0
1721744076.435101,204907,0.0
1721744085.8249698,212050,0.0
1721744090.5301318,215628,0.0
1721744091.9410973,216714,3.0
1721744093.3527129,217783,2.0
1721744097.2698033,220749,2.0
1721744099.4188693,222357,1.0
1721744100.0049152,222784,0.0
1721744104.6521962,226155,2.0
1721744105.0644126,226468,0.0
1721744106.4617183,227524,2.0
1721744107.1716576,228075,1.0
1721744107.9677706,228698,1.0
1721744110.903645,230867,0.0
1721744114.6855047,233737,1.0
1721744114.9384255,233929,1.0
1721744116.0763888,234771,2.0
1721744116.553701,235110,1.0
1721744116.7478611,235257,0.0
1721744116.8764126,235350,0.0
1721744121.9695168,239111,1.0
1721744123.0823073,239940,0.0
1721744125.0448015,241316,2.0
1721744126.1599915,242133,0.0
1721744128.5355244,243852,0.0
1721744128.6334012,243926,1.0
1721744130.4100654,245164,1.0
1721744130.4392207,245187,0.0
1721744130.7387745,245400,0.0
1721744130.9490194,245541,0.0
1721744138.5093005,250920,0.0
1721744142.7950733,254013,0.0
1721744142.9653525,254137,1.0
1721744144.1814976,255044,4.0
1721744144.5452938,255305,2.0
1721744145.7938187,256229,0.0
1721744145.9709303,256344,0.0
1721744146.831114,256975,0.0
1721744147.2726235,257289,2.0
1721744148.154957,257953,5.0
1721744149.2614098,258746,0.0
1721744152.9081924,261286,0.0
1721744156.6953542,264021,0.0
1721744157.18642,264371,0.0
1721744158.7254014,265404,2.0
1721744162.3507013,267857,0.0
1721744164.9149635,269620,2.0
1721744165.374011,269958,0.0
1721744166.3111122,270630,0.0
1721744167.8704708,271750,0.0
1721744171.160248,274155,1.0
1721744171.351156,274300,0.0
1721744172.2147014,274891,2.0
1721744175.7298956,277368,0.0
1721744176.7250025,278072,3.0
1721744177.0572596,278312,1.0
1721744177.1216512,278358,0.0
1721744180.5518162,280779,0.0
1721744184.6788335,283686,0.0
1721744184.7846477,283755,0.0
1721744185.0556078,283950,0.0
1721744188.0865731,286152,0.0
1721744189.296345,287005,1.0
1721744191.2039483,288306,2.0
1721744194.260766,290505,0.0
1721744195.2427828,291175,0.0
1721744197.3577971,292595,0.0
1721744199.5420074,294107,0.0
1721744200.8868341,295059,0.0
1721744201.9864192,295831,1.0
1721744206.0802786,298747,0.0
1721744206.760441,299212,0.0
1721744206.7978942,299235,0.0
1721744209.3079257,301016,0.0
1721744209.775691,301334,0.0
1721744209.8411274,301380,0.0
1721744210.5734377,301888,1.0
1721744212.2841337,303052,1.0
1721744213.120408,303625,2.0
1721744213.7607565,304064,0.0
1721744213.997114,304224,0.0
1721744214.6246917,304668,0.0
1721744215.2737758,305118,0.0
1721744215.5221195,305293,3.0
1721744218.193388,307142,1.0
1721744219.2421827,307883,0.0
1721744219.3576002,307957,1.0
1721744222.3767812,310027,0.0
1721744222.9453764,310414,2.0
1721744224.1846597,311272,2.0
1721744228.9248588,314650,1.0
1721744229.2574954,314895,0.0
1721744231.2247002,316251,0.0
1721744234.4120066,318451,2.0
1721744234.7197392,318663,5.0
1721744236.6634176,320050,0.0
1721744238.2965991,321231,2.0
1721744239.210953,321862,1.0
1721744239.6187212,322158,3.0
1721744241.72458,323573,0.0
1721744242.2277706,323913,0.0
1721744244.1697671,325210,2.0
1721744248.649399,328230,0.0
1721744253.6471152,331659,0.0
1721744256.226345,333376,3.0
