Wall time,Step,Value
1721731344.134066,1088,2.0
1721731345.0583181,2359,0.0
1721731345.1457057,2500,1.0
1721731345.3594055,2841,0.0
1721731345.5492651,3198,5.0
1721731346.3356898,4557,1.0
1721731346.4721375,4796,3.0
1721731347.6182823,6701,1.0
1721731348.3583093,8002,1.0
1721731348.4593196,8171,2.0
1721731348.5547364,8334,1.0
1721731349.7986417,10422,1.0
1721731349.8851404,10565,1.0
1721731350.2489796,11172,1.0
1721731350.6466587,11864,1.0
1721731350.7416136,12023,1.0
1721731351.3568263,13071,0.0
1721731351.819413,13857,0.0
1721731352.42405,14866,0.0
1721731353.5686357,16877,1.0
1721731354.0288007,17688,3.0
1721731354.4001913,18331,3.0
1721731358.8745348,20687,4.0
1721731359.4057298,21171,1.0
1721731359.589432,21333,1.0
1721731359.8374076,21559,0.0
1721731360.1893878,21882,2.0
1721731361.2394557,22865,1.0
1721731362.4958653,24012,0.0
1721731362.9259698,24411,0.0
1721731363.0567992,24526,0.0
1721731363.5264025,24984,0.0
1721731365.0997086,26477,3.0
1721731365.7637444,27105,2.0
1721731366.1304035,27456,2.0
1721731366.4723036,27778,0.0
1721731367.8237092,29016,0.0
1721731368.5540423,29681,1.0
1721731369.9163709,30942,3.0
1721731370.167963,31180,3.0
1721731371.6262615,32530,0.0
1721731371.784227,32671,1.0
1721731374.3002503,35061,7.0
1721731374.6085627,35345,1.0
1721731376.3479807,37051,0.0
1721731379.5841143,39947,2.0
1721731382.1849895,42261,0.0
1721731382.3609457,42422,1.0
1721731384.292071,44163,0.0
1721731384.615145,44468,4.0
1721731386.8485086,46507,1.0
1721731387.2737715,46899,1.0
1721731388.4861152,47957,1.0
1721731388.9507425,48371,0.0
1721731389.4904835,48844,1.0
1721731389.754562,49074,0.0
1721731390.7379093,49901,0.0
1721731391.0782201,50201,0.0
1721731391.3610892,50471,4.0
1721731393.311323,52264,1.0
1721731394.1148336,52988,1.0
1721731395.0291164,53815,3.0
1721731395.3753521,54132,0.0
1721731395.5081131,54245,0.0
1721731396.0422935,54723,1.0
1721731400.203045,58534,0.0
1721731400.4390917,58752,3.0
1721731402.7132177,60777,1.0
1721731403.7687905,61695,1.0
1721731403.906597,61808,0.0
1721731404.0333035,61923,0.0
1721731406.0420392,63623,2.0
1721731407.494876,64942,1.0
1721731408.2073398,65576,3.0
1721731408.7720208,66096,7.0
1721731409.7780995,66997,3.0
1721731410.7909088,67899,1.0
1721731411.1977391,68252,1.0
1721731413.1758657,69983,1.0
1721731414.3802354,71026,1.0
1721731414.5257196,71167,1.0
1721731417.2925901,73630,0.0
1721731417.4259841,73745,0.0
1721731417.7343485,74015,1.0
1721731418.9258952,75073,0.0
1721731420.241045,76207,0.0
1721731421.042833,76948,0.0
1721731422.2382286,78048,4.0
1721731423.2744486,78966,0.0
1721731423.863706,79475,1.0
1721731424.2035751,79775,1.0
1721731425.0031586,80475,0.0
1721731425.1435266,80586,0.0
1721731425.9123096,81233,1.0
1721731426.0512133,81348,0.0
1721731427.310738,82459,1.0
1721731431.801448,86431,6.0
1721731432.236772,86810,2.0
1721731432.36734,86921,0.0
1721731432.7234864,87257,5.0
1721731433.2280576,87691,2.0
1721731433.9369543,88321,9.0
1721731437.0843592,91086,0.0
1721731437.3486187,91320,3.0
1721731437.7397852,91667,2.0
1721731438.2584164,92136,2.0
1721731438.924177,92708,3.0
1721731439.655287,93348,1.0
1721731440.0007532,93649,0.0
1721731440.9525876,94462,3.0
1721731441.3809724,94818,1.0
1721731442.1202505,95446,2.0
1721731443.478829,96622,3.0
1721731443.9799385,97099,1.0
1721731445.0215867,98037,1.0
1721731448.4839575,101112,4.0
1721731448.691247,101298,2.0
1721731449.3011038,101811,1.0
1721731449.789824,102255,4.0
1721731450.5815089,102951,3.0
1721731451.1499279,103426,0.0
1721731454.4445717,106249,3.0
1721731454.8007712,106558,7.0
1721731456.69175,108186,0.0
1721731456.8338673,108297,0.0
1721731457.6737745,109032,0.0
1721731457.8568077,109193,1.0
1721731458.6707695,109904,2.0
1721731459.6577377,110761,4.0
1721731461.116055,112004,3.0
1721731461.3451307,112211,2.0
1721731462.6736166,113362,4.0
1721731463.38194,113984,6.0
1721731465.1562917,115490,5.0
1721731465.4681623,115746,1.0
1721731467.1657712,117190,2.0
1721731468.894854,118647,0.0
1721731469.296348,119003,5.0
1721731471.4089508,120836,4.0
1721731473.5951955,122708,4.0
1721731474.1936088,123202,3.0
1721731477.3011885,125781,0.0
1721731479.705941,127793,1.0
1721731480.206304,128200,3.0
1721731480.7083242,128628,2.0
1721731481.5658364,129359,3.0
1721731481.7873905,129549,2.0
1721731482.3751585,130055,3.0
1721731482.5909612,130227,2.0
1721731482.8699996,130463,3.0
1721731484.118558,131543,3.0
1721731485.8432264,132999,1.0
1721731490.674583,137153,3.0
1721731493.3824944,139373,1.0
1721731493.7758334,139707,5.0
1721731494.5293992,140321,0.0
1721731495.0518534,140745,2.0
1721731496.6503713,142088,3.0
1721731500.608483,145395,0.0
1721731500.8984401,145629,3.0
1721731501.5810955,146203,10.0
1721731502.4022377,146858,4.0
1721731504.3686287,148460,1.0
1721731507.413183,150921,0.0
1721731509.155959,152354,2.0
1721731510.0773423,153132,3.0
1721731513.5454414,155956,4.0
1721731514.7275834,156932,1.0
1721731515.4968238,157561,2.0
1721731516.5565557,158423,0.0
1721731519.6420324,160983,1.0
1721731519.9650412,161258,1.0
1721731521.746499,162718,0.0
1721731522.3937657,163271,6.0
1721731523.4948518,164157,3.0
1721731525.7557344,165978,8.0
1721731531.5768054,170692,4.0
1721731532.2037017,171216,5.0
1721731534.739618,173273,4.0
1721731536.4572399,174680,1.0
1721731540.0836923,177632,0.0
1721731543.8613987,180714,4.0
1721731544.6318107,181353,2.0
1721731547.789118,183846,5.0
1721731548.1894884,184164,0.0
1721731549.8139696,185450,2.0
1721731550.5074718,185996,4.0
1721731551.0633323,186411,0.0
1721731553.8009622,188591,3.0
1721731555.7466505,190141,2.0
1721731556.6264532,190843,1.0
1721731557.2394521,191345,1.0
1721731559.4673378,193127,3.0
1721731559.7603633,193359,3.0
1721731565.3871586,197910,2.0
1721731566.1741579,198550,2.0
1721731568.7871823,200637,0.0
1721731569.1192696,200904,4.0
1721731569.5868232,201263,3.0
1721731570.7704988,202221,5.0
1721731572.715332,203726,0.0
1721731575.1396518,205646,0.0
1721731576.6067598,206843,7.0
1721731577.237879,207338,2.0
1721731578.09259,208004,4.0
1721731578.6259685,208422,4.0
1721731579.6054678,209206,8.0
1721731582.3847315,211418,3.0
1721731582.7631245,211723,5.0
1721731583.6749918,212450,8.0
1721731583.9632845,212681,3.0
1721731584.8287911,213351,2.0
1721731585.7063258,214062,0.0
1721731586.3168678,214547,2.0
1721731587.6635277,215612,3.0
1721731589.8233123,217371,4.0
1721731591.268511,218504,0.0
1721731591.4217865,218617,0.0
1721731595.1818712,221605,3.0
1721731598.2480538,224040,2.0
1721731598.6829793,224392,3.0
1721731599.07537,224700,5.0
1721731601.1337988,226344,2.0
1721731602.4359024,227380,6.0
1721731603.568139,228245,6.0
1721731603.8717725,228499,4.0
1721731607.9701204,231739,3.0
1721731610.0015423,233335,4.0
1721731611.3546243,234385,1.0
1721731612.7141676,235412,3.0
1721731613.292145,235882,4.0
1721731614.7053106,236971,2.0
1721731619.2614236,240467,3.0
1721731619.9456167,241005,4.0
1721731621.219302,241953,1.0
1721731621.6070714,242268,5.0
1721731622.2744348,242779,2.0
1721731623.5552027,243793,9.0
1721731624.3664138,244401,1.0
1721731626.1110094,245767,3.0
1721731627.5314984,246867,2.0
