Wall time,Step,Value
1721731343.957964,858,0.0
1721731344.5788887,1613,0.0
1721731344.8675547,2057,1.0
1721731345.288571,2728,0.0
1721731345.621374,3316,0.0
1721731345.7167952,3485,1.0
1721731346.2049863,4331,0.0
1721731346.9801624,5675,2.0
1721731347.1017272,5857,0.0
1721731348.4593823,8171,1.0
1721731348.7202594,8606,0.0
1721731349.215509,9456,0.0
1721731349.8852232,10565,0.0
1721731351.3190339,13004,0.0
1721731351.6133509,13508,0.0
1721731351.8377213,13880,0.0
1721731352.2569811,14596,0.0
1721731352.7939963,15506,0.0
1721731352.957663,15778,1.0
1721731353.1261082,16088,0.0
1721731353.8424668,17358,0.0
1721731354.2482455,18049,1.0
1721731354.387251,18308,1.0
1721731354.4189427,18354,0.0
1721731354.6835692,18793,0.0
1721731358.38015,20201,0.0
1721731359.6727328,21402,0.0
1721731359.8162284,21536,0.0
1721731359.8374724,21559,0.0
1721731360.2910519,21972,0.0
1721731360.9708982,22606,0.0
1721731363.8136954,25242,1.0
1721731364.369583,25773,2.0
1721731365.7638347,27105,1.0
1721731367.6438985,28857,1.0
1721731367.8759573,29062,0.0
1721731368.4386206,29568,0.0
1721731370.7910464,31746,0.0
1721731373.972287,34726,1.0
1721731374.532372,35276,0.0
1721731375.0109055,35739,0.0
1721731375.8646226,36584,0.0
1721731376.4680057,37174,0.0
1721731378.0298333,38567,1.0
1721731378.6628609,39126,0.0
1721731378.913836,39344,0.0
1721731379.6781778,40016,0.0
1721731380.1532965,40440,0.0
1721731380.46556,40712,0.0
1721731380.7970793,41009,0.0
1721731382.0229123,42125,0.0
1721731382.9877973,42995,0.0
1721731383.1129067,43114,2.0
1721731383.4716265,43433,0.0
1721731383.5701766,43521,0.0
1721731386.2371042,45943,0.0
1721731387.3266544,46945,0.0
1721731388.647764,48101,0.0
1721731390.0511408,49335,1.0
1721731390.0786421,49356,0.0
1721731391.361152,50471,0.0
1721731391.8438885,50908,0.0
1721731391.994933,51055,1.0
1721731393.5066698,52431,0.0
1721731393.6536415,52571,0.0
1721731394.1529107,53011,0.0
1721731395.4251716,54176,0.0
1721731396.5145178,55157,2.0
1721731396.7255504,55341,0.0
1721731398.0406663,56532,0.0
1721731398.6559935,57117,0.0
1721731399.4056487,57827,0.0
1721731399.4495082,57871,0.0
1721731399.6773255,58077,0.0
1721731402.0906794,60237,0.0
1721731404.4851148,62295,1.0
1721731404.930396,62667,0.0
1721731406.259723,63813,0.0
1721731406.752268,64272,0.0
1721731407.6877832,65104,0.0
1721731408.5077078,65840,3.0
1721731408.5337062,65863,0.0
1721731409.4000328,66661,0.0
1721731412.9105206,69751,0.0
1721731413.1759295,69983,0.0
1721731413.6670916,70431,0.0
1721731414.0296574,70728,0.0
1721731418.102219,74341,0.0
1721731422.9462023,78694,2.0
1721731424.381815,79932,0.0
1721731427.2078848,82365,0.0
1721731427.4183378,82551,0.0
1721731427.854481,82930,0.0
1721731428.1116512,83159,0.0
1721731428.2496412,83280,0.0
1721731428.9369636,83879,0.0
1721731429.72,84579,1.0
1721731430.2896554,85087,0.0
1721731430.7630324,85506,1.0
1721731432.8013034,87326,0.0
1721731432.821286,87347,0.0
1721731433.9370198,88321,1.0
1721731435.143394,89375,0.0
1721731435.384241,89587,0.0
1721731435.6363425,89797,1.0
1721731437.7398503,91667,2.0
1721731438.236337,92113,1.0
1721731439.032441,92798,0.0
1721731439.4197829,93133,1.0
1721731440.3098195,93913,1.0
1721731440.868674,94391,0.0
1721731440.9526527,94462,1.0
1721731440.9847867,94485,0.0
1721731441.6068242,95010,1.0
1721731442.1486723,95469,0.0
1721731443.4156957,96576,0.0
1721731445.0216558,98037,1.0
1721731445.9424217,98869,1.0
1721731450.5025737,102880,2.0
1721731455.2793643,106967,0.0
1721731455.3001146,106988,0.0
1721731456.4078183,107930,0.0
1721731456.439945,107953,0.0
1721731456.8717954,108320,0.0
1721731457.70372,109055,0.0
1721731460.0479722,111085,0.0
1721731460.9754553,111881,0.0
1721731462.2899256,113017,1.0
1721731463.6160295,114166,0.0
1721731463.7895162,114324,0.0
1721731468.009412,117892,1.0
1721731470.5874786,120121,0.0
1721731473.3480256,122496,1.0
1721731474.6358273,123573,2.0
1721731474.8631308,123755,0.0
1721731475.2087517,124034,0.0
1721731476.3782396,125015,0.0
1721731477.8057997,126197,0.0
1721731477.8856652,126266,0.0
1721731479.405069,127542,1.0
1721731480.0469913,128060,0.0
1721731482.1345367,129838,2.0
1721731482.2747183,129964,1.0
1721731482.436935,130101,0.0
1721731482.7824268,130391,0.0
1721731483.0016606,130582,2.0
1721731483.8841674,131343,0.0
1721731485.2000713,132445,0.0
1721731487.8569913,134733,0.0
1721731488.8436959,135575,0.0
1721731491.7709656,138049,0.0
1721731491.8333163,138095,0.0
1721731494.4749846,140277,0.0
1721731495.081426,140768,0.0
1721731495.3134432,140962,0.0
1721731495.9997308,141527,0.0
1721731498.0960956,143276,0.0
1721731500.0773942,144943,1.0
1721731500.5859165,145374,0.0
1721731501.9373446,146480,2.0
1721731503.786397,147973,1.0
1721731504.9083784,148906,0.0
1721731505.50193,149389,0.0
1721731505.5842197,149456,0.0
1721731506.5341277,150210,1.0
1721731508.0656328,151456,0.0
1721731508.5887537,151878,1.0
1721731510.45373,153413,2.0
1721731512.114932,154798,0.0
1721731514.849079,157022,0.0
1721731515.1491706,157276,0.0
1721731520.8220375,161968,1.0
1721731525.0421245,165410,1.0
1721731525.349403,165655,0.0
1721731526.611062,166659,1.0
1721731529.0648801,168646,0.0
1721731531.2819405,170443,0.0
1721731533.326152,172122,0.0
1721731533.4463003,172215,1.0
1721731533.7502632,172456,0.0
1721731534.3473184,172958,0.0
1721731535.529283,173907,0.0
1721731537.9652123,175900,0.0
1721731540.6880634,178115,0.0
1721731540.8395455,178230,0.0
1721731540.8885472,178281,1.0
1721731541.1727438,178507,0.0
1721731542.9004853,179920,1.0
1721731544.4312975,181189,0.0
1721731545.1070201,181724,0.0
1721731546.365296,182710,0.0
1721731548.6858172,184562,2.0
1721731553.801025,188591,0.0
1721731554.336288,189016,0.0
1721731554.4036005,189062,0.0
1721731556.535159,190769,0.0
